candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return,best_return,p90_MDD,median_trade_count,valid_episode_count,mean_return_excluding_top_5pct,median_return_without_tail_extremes,trimmed_each_tail_count,median_days_to_valid_portfolio,valid_portfolio_reached_count,valid_portfolio_unreached_count,analysis_status,median_day_1_invested_fraction,observed_day_1_invested_fraction_count,median_day_1_holding_count,observed_day_1_holding_count_count,median_day_3_invested_fraction,observed_day_3_invested_fraction_count,median_day_3_holding_count,observed_day_3_holding_count_count,median_day_5_invested_fraction,observed_day_5_invested_fraction_count,median_day_5_holding_count,observed_day_5_holding_count_count
coarse_011_macd_fast_6,200,136,187,64,0.68,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02552507045905128,0.031448607598109746,-0.010952939567807463,-0.047737889596677574,-0.11727497277533294,0.6764705882352942,0.3235294117647059,0.46,0.03712730733637776,0.216488896085968,2.3881882472317035,1.0,-0.2986149468332854,-0.008479055773044863,-1.0,-1.0,0.36919157442464234,0.08911466131249196,116.0,136.0,0.022663228864161576,0.02552507045905128,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9078508551501336,200.0,20.0,200.0,0.9016560470404392,200.0,20.0,200.0,0.8940125619436095,187.0,21.0,187.0
coarse_012_macd_fast_10,200,140,187,60,0.7,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02772072650889179,0.03021109751447874,-0.012692570556139593,-0.052259329969537305,-0.14787712402247477,0.6857142857142857,0.3142857142857143,0.48,0.03793870649884856,0.21547926984037258,2.3836233660314443,1.0,-0.2788522317398649,-0.004146866360266621,-1.0,-1.0,0.3828592936472064,0.08887439830096568,112.0,140.0,0.021522605504788704,0.02772072650889179,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077212299787643,200.0,20.0,200.0,0.9022104132590183,200.0,20.0,200.0,0.8938995710175456,187.0,21.0,187.0
coarse_013_macd_signal_3,200,136,187,64,0.68,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02468785164336562,0.0316669296027757,-0.01102122678441414,-0.049096509030815805,-0.10695276889617089,0.6838235294117647,0.3161764705882353,0.465,0.036847236305048825,0.216488896085968,2.390151061373748,1.0,-0.29846648787011254,-0.008486893299165132,-1.0,-1.0,0.37818117284206965,0.0866342379021694,115.5,136.0,0.02252025325927844,0.02468785164336562,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.907873479317009,200.0,20.0,200.0,0.9016560470404392,200.0,20.0,200.0,0.8941697915008715,187.0,21.0,187.0
coarse_014_macd_signal_7,200,139,187,61,0.695,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.02678912839505454,0.03161660747467588,-0.006038439946963348,-0.05012153402178212,-0.10467617977339194,0.6906474820143885,0.30935251798561153,0.48,0.037870612857540786,0.21547926984037258,2.3797080747026302,1.0,-0.2830264578051003,-0.002847767985291849,-1.0,-1.0,0.3828592936472064,0.08712110746903555,112.0,139.0,0.022751104141732755,0.02678912839505454,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077438551937618,200.0,20.0,200.0,0.9030005895924278,200.0,20.0,200.0,0.8939822302443681,187.0,21.0,187.0
coarse_015_momentum_weight_0p45,200,134,187,66,0.67,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.024494679985162082,0.03150302117492606,-0.009365876379942961,-0.04971943344256001,-0.09585092973252829,0.6865671641791045,0.31343283582089554,0.46,0.03753346136675978,0.20950788510184748,2.3834984032209032,1.0,-0.30889297581279956,-0.008944651460791708,-1.0,-1.0,0.35814143949022026,0.08627868317218611,114.5,134.0,0.022887839405765255,0.024494679985162082,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077801390001681,200.0,20.0,200.0,0.9030713619419524,200.0,20.0,200.0,0.8942006296796781,187.0,21.0,187.0
coarse_016_momentum_weight_0p65,200,137,187,63,0.685,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.027159093408304802,0.03071819196523701,-0.006161932835818451,-0.049102265810629236,-0.15852233497935997,0.6715328467153284,0.3284671532846715,0.46,0.03847139993414572,0.21136878454297503,2.3983526624175426,1.0,-0.29395803850381264,-0.00543055049803709,-1.0,-1.0,0.37846794320696975,0.08960207063568838,114.0,137.0,0.021481946107468376,0.027159093408304802,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9071984111361129,200.0,20.0,200.0,0.9006931115087597,200.0,20.0,200.0,0.8935609318047172,187.0,21.0,187.0
coarse_017_long_return_fraction_0p1,200,135,187,65,0.675,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.027146243165297346,0.032948408132162384,-0.009081980259882327,-0.0464820784413442,-0.09192812321271582,0.7111111111111111,0.28888888888888886,0.48,0.03754819981864077,0.21129113462519344,2.3785171150016664,1.0,-0.30275982451079037,-0.00831538095801826,-1.0,-1.0,0.37573973120547643,0.08432730772443109,114.0,135.0,0.024125396575522512,0.027146243165297346,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9076461189060088,200.0,20.0,200.0,0.9022912662806282,200.0,20.0,200.0,0.8938296765881947,187.0,21.0,187.0
coarse_018_long_return_fraction_0p3,200,135,187,65,0.675,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.022160560063359425,0.032863173526188914,-0.0035496694476226387,-0.04675708868005539,-0.10996588937415575,0.725925925925926,0.2740740740740741,0.49,0.03768377245222565,0.21655454740219116,2.3928323624091283,1.0,-0.30281735786982245,-0.0019676480128834606,-1.0,-1.0,0.3828592936472064,0.08640934308473867,115.0,135.0,0.023780233285541862,0.022160560063359425,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077664162676606,200.0,20.0,200.0,0.9003373810310462,200.0,20.0,200.0,0.8934085981772144,187.0,21.0,187.0
coarse_019_volume_low_0p6,200,144,194,56,0.72,0.97,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.026366523069108472,0.029713525726879353,-0.00988291752398529,-0.045606423302711675,-0.1496141437602143,0.7013888888888888,0.2986111111111111,0.505,0.037414901705942194,0.216488896085968,2.3717543893201016,1.0,-0.25860626147664684,0.0011458821842924571,-1.0,-1.0,0.3828592936472064,0.08450936427641989,111.0,144.0,0.02036348638236685,0.026366523069108472,8.0,1.0,194.0,6.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9081245578328212,200.0,20.0,200.0,0.9038850912352563,200.0,20.0,200.0,0.8941577708567632,194.0,21.0,194.0
coarse_020_volume_high_3p0,200,137,187,63,0.685,0.935,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.026603694814273382,0.031985464131393096,-0.010851996611573655,-0.05170169358899854,-0.1496141437602143,0.708029197080292,0.291970802919708,0.485,0.037528335781332633,0.21677721720859577,2.3875879974939256,1.0,-0.2930899570699957,-0.0034861591692887384,-1.0,-1.0,0.3828592936472064,0.08553389333772762,113.0,137.0,0.022711594854327517,0.026603694814273382,7.0,1.0,187.0,13.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9079175664162971,200.0,20.0,200.0,0.903700629417488,200.0,20.0,200.0,0.8941521749970737,187.0,21.0,187.0
