symbol,code,name,market,shares,close,market_cap,rank,as_of,known_at_assumption,universe_type
2376.TW,2376,技嘉,TWSE,669888886.0,272.5,182544721435.0,57,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3443.TW,3443,創意,TWSE,134011911.0,1360.0,182256198960.0,58,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2356.TW,2356,英業達,TWSE,3587475066.0,50.1,179732500806.6,59,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2360.TW,2360,致茂,TWSE,425322042.0,409.0,173956715178.0,60,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1402.TW,1402,遠東新,TWSE,5352875227.0,31.6,169150857173.2,61,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1590.TW,1590,亞德客-KY,TWSE,199999998.0,844.0,168799998312.0,62,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2324.TW,2324,仁寶,TWSE,4407146625.0,37.65,165929070431.25,63,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6409.TW,6409,旭隼,TWSE,87720567.0,1860.0,163160254620.0,64,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1519.TW,1519,華城,TWSE,287164403.0,563.0,161673558889.0,65,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1326.TW,1326,台化,TWSE,5861186291.0,27.3,160010385744.30002,66,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2105.TW,2105,正新,TWSE,3241415536.0,49.05,158991432040.8,67,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2633.TW,2633,台灣高鐵,TWSE,5628293058.0,27.8,156466547012.4,68,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6415.TW,6415,矽力*-KY,TWSE,386782124.0,403.5,156066587034.0,69,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2610.TW,2610,華航,TWSE,6051540742.0,25.65,155222020032.3,70,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2377.TW,2377,微星,TWSE,844856199.0,183.5,155031112516.5,71,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
5269.TW,5269,祥碩,TWSE,74662245.0,1985.0,148204556325.0,72,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2059.TW,2059,川湖,TWSE,95297072.0,1550.0,147710461600.0,73,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1102.TW,1102,亞泥,TWSE,3546562881.0,40.4,143281140392.4,74,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
1476.TW,1476,儒鴻,TWSE,274367111.0,509.0,139652859499.0,75,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2449.TW,2449,京元電子,TWSE,1222745065.0,111.5,136336074747.5,76,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2834.TW,2834,臺企銀,TWSE,9167982876.0,14.85,136144545708.59999,77,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2474.TW,2474,可成,TWSE,680364068.0,194.0,131990629192.0,78,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
9910.TW,9910,豐泰,TWSE,987482831.0,133.0,131335216523.0,79,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3036.TW,3036,文曄,TWSE,1116416651.0,110.0,122805831610.0,80,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
9945.TW,9945,潤泰新,TWSE,2844225086.0,42.9,122017256189.4,81,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2353.TW,2353,宏碁,TWSE,3047853828.0,39.8,121304582354.4,82,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2368.TW,2368,金像電,TWSE,491839505.0,241.5,118779240457.5,83,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2347.TW,2347,聯強,TWSE,1667946968.0,70.8,118090645334.4,84,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
6526.TW,6526,達發,TWSE,167505554.0,704.0,117923910016.0,85,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2049.TW,2049,上銀,TWSE,353792240.0,329.0,116397646960.0,86,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2385.TW,2385,群光,TWSE,760053172.0,152.0,115528082144.0,87,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3702.TW,3702,大聯大,TWSE,1679056833.0,68.4,114847487377.20001,88,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
3481.TW,3481,群創,TWSE,7989197337.0,14.35,114644981785.95,89,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
4958.TW,4958,臻鼎-KY,TWSE,947049161.0,120.0,113645899320.0,90,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2409.TW,2409,友達,TWSE,7667880972.0,14.65,112334456239.8,91,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
2371.TW,2371,大同,TWSE,2339536685.0,47.9,112063807211.5,92,2024-12-31,2024-12-31T19:30:00+08:00,historical_reconstruction_not_contest_whitelist
