decision,learning_rate,trees,tree_cap,n_train_rows,latest_label_end,seconds
2022-05-03,0.0005,35,30000,77697,2022-04-29,16.8626
2022-06-01,0.05,20,3000,79963,2022-05-31,1.6564
2022-06-01,0.01,136,3000,79963,2022-05-31,2.8987
2022-06-01,0.005,286,3000,79963,2022-05-31,4.4994
2022-06-01,0.001,1417,15000,79963,2022-05-31,23.0594
2022-06-01,0.0005,2840,30000,79963,2022-05-31,49.7531
2022-07-01,0.05,3,3000,82323,2022-06-30,1.5666
2022-07-01,0.01,10,3000,82323,2022-06-30,1.8301
2022-07-01,0.005,20,3000,82323,2022-06-30,2.1461
2022-07-01,0.001,88,15000,82323,2022-06-30,9.3205
2022-07-01,0.0005,101,30000,82323,2022-06-30,18.0484
2022-08-01,0.05,33,3000,84693,2022-07-29,1.8312
2022-08-01,0.01,200,3000,84693,2022-07-29,3.6026
2022-08-01,0.005,328,3000,84693,2022-07-29,5.1334
2022-08-01,0.001,1545,15000,84693,2022-07-29,24.564
2022-08-01,0.0005,3139,30000,84693,2022-07-29,52.475
2022-09-01,0.05,5,3000,87204,2022-08-31,1.59
2022-09-01,0.01,35,3000,87204,2022-08-31,1.9564
2022-09-01,0.005,61,3000,87204,2022-08-31,2.5523
2022-09-01,0.001,315,15000,87204,2022-08-31,12.1018
2022-09-01,0.0005,613,30000,87204,2022-08-31,23.4143
2022-10-03,0.05,24,3000,89570,2022-09-30,1.8711
2022-10-03,0.01,49,3000,89570,2022-09-30,2.2856
2022-10-03,0.005,117,3000,89570,2022-09-30,3.0658
2022-10-03,0.001,465,15000,89570,2022-09-30,13.5923
2022-10-03,0.0005,942,30000,89570,2022-09-30,28.2373
2022-11-01,0.05,3,3000,91793,2022-10-31,1.6104
2022-11-01,0.01,17,3000,91793,2022-10-31,1.9475
2022-11-01,0.005,25,3000,91793,2022-10-31,2.1673
2022-11-01,0.001,126,15000,91793,2022-10-31,10.2619
2022-11-01,0.0005,333,30000,91793,2022-10-31,21.6885
2022-12-01,0.05,33,3000,94149,2022-11-30,1.6332
2022-12-01,0.01,162,3000,94149,2022-11-30,3.4022
