instrument,source_symbol,session_date,close,adjusted_close,return1,available_at,available_at_basis,source_url,source_sha256
NASDAQ,^IXIC,2026-06-15,26683.94,26683.94,0.03071207516443364,2026-06-15T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2026-06-15,212.45,212.21,0.03538184122033239,2026-06-15T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2026-06-15,14099.62,14099.62,0.054455493674218536,2026-06-15T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2026-06-15,441.4,440.22,0.04120963366593533,2026-06-15T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
TAIWAN_FUTURES_NIGHT,TX:202606,2026-06-16,46246.0,46246.0,0.015346784640042133,2026-06-15T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2026-06-16,31.57,31.57,0.00031685678073500867,2026-06-16T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2026-06-16,26376.34,26376.34,-0.011527533040472937,2026-06-16T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2026-06-16,207.41,207.18,-0.023723228995057632,2026-06-16T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2026-06-16,13294.22,13294.22,-0.05712210683692198,2026-06-16T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2026-06-16,425.83,424.69,-0.03527412777526051,2026-06-16T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
TAIWAN_FUTURES_NIGHT,TX:202606,2026-06-17,45020.0,45020.0,-0.017781171593760248,2026-06-16T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2026-06-17,31.575,31.575,0.00015837820715858264,2026-06-17T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2026-06-17,26021.66,26021.66,-0.013446899759405606,2026-06-17T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2026-06-17,204.65,204.42,-0.013306976519936287,2026-06-17T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2026-06-17,13477.07,13477.07,0.013754097645442886,2026-06-17T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2026-06-17,432.15,430.99,0.01484160345677843,2026-06-17T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
TAIWAN_FUTURES_NIGHT,TX:202607,2026-06-18,46036.0,46036.0,-0.001344960735823686,2026-06-17T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2026-06-18,31.58,31.58,0.00015835312747425334,2026-06-18T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2026-06-18,26517.93,26517.93,0.01907141973263804,2026-06-18T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2026-06-18,210.69,210.45,0.029513804055704806,2026-06-18T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2026-06-18,14341.78,14341.78,0.06416157221117058,2026-06-18T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2026-06-18,462.12,460.88,0.06935091981950725,2026-06-18T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
TAIWAN_FUTURES_NIGHT,TX:202607,2026-06-22,47565.0,47565.0,0.017411392269684134,2026-06-21T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2026-06-22,31.64,31.64,0.0018999366687777464,2026-06-22T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2026-06-22,26166.6,26166.6,-0.01324877168014249,2026-06-22T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2026-06-22,208.65,208.42,-0.009682471878114773,2026-06-22T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2026-06-22,14634.72,14634.72,0.020425637542899056,2026-06-22T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2026-06-22,467.67,466.42,0.01200986756686584,2026-06-22T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
TAIWAN_FUTURES_NIGHT,TX:202607,2026-06-23,48883.0,48883.0,0.007253095959283806,2026-06-22T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2026-06-23,31.634999999999998,31.634999999999998,-0.00015802781289520063,2026-06-23T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2026-06-23,25587.04,25587.04,-0.02214884623909863,2026-06-23T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2026-06-23,200.04,199.82,-0.04126527677929559,2026-06-23T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2026-06-23,13482.51,13482.51,-0.0787312637344616,2026-06-23T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2026-06-23,436.39,435.22,-0.06688476917484554,2026-06-23T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
TAIWAN_FUTURES_NIGHT,TX:202607,2026-06-24,46207.0,46207.0,-0.015615679590967213,2026-06-23T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2026-06-24,31.78,31.78,0.004583530899320509,2026-06-24T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2026-06-24,25476.64,25476.64,-0.004314684308931449,2026-06-24T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2026-06-24,199.0,198.78,-0.005198960207958403,2026-06-24T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2026-06-24,13458.2,13458.2,-0.0018030767268112369,2026-06-24T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2026-06-24,440.83,439.65,0.010174385297554878,2026-06-24T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
TAIWAN_FUTURES_NIGHT,TX:202607,2026-06-25,46910.0,46910.0,0.01184184983067671,2026-06-24T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2026-06-25,31.85,31.85,0.0022026431718060735,2026-06-25T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2026-06-25,25358.6,25358.6,-0.004633264041098095,2026-06-25T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2026-06-25,195.74,195.52,-0.01638190954773866,2026-06-25T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2026-06-25,13940.87,13940.87,0.0358643800805456,2026-06-25T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2026-06-25,434.99,433.83,-0.013247737222965683,2026-06-25T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
TAIWAN_FUTURES_NIGHT,TX:202607,2026-06-26,45805.0,45805.0,-0.013461124273099312,2026-06-25T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2026-06-26,31.875,31.875,0.0007849293563579884,2026-06-26T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2026-06-26,25297.62,25297.62,-0.0024047068844494923,2026-06-26T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
NVDA,NVDA,2026-06-26,192.53,192.31,-0.016399305200776593,2026-06-26T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=NVDA&start_date=2024-01-01&end_date=2026-09-21,587a84ad91a1a36629721b16279db205b538215f349305334958531a65585f4b
SOX,^SOX,2026-06-26,13203.57,13203.57,-0.0528876605262083,2026-06-26T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^SOX&start_date=2024-01-01&end_date=2026-09-21,bb1dfe9d9647a8ea17a233c3087d15fb5a75e192558e336b6d2eefc5e2b14459
TSM_ADR,TSM,2026-06-26,432.35,431.19,-0.006069105036897393,2026-06-26T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=TSM&start_date=2024-01-01&end_date=2026-09-21,45b3faf52fcc2c7ce23fa9432b344fcfb42138d05f8db4633324c1f0ca0eba48
TAIWAN_FUTURES_NIGHT,TX:202607,2026-06-29,44995.0,44995.0,0.0021158129175946616,2026-06-28T22:00:00+00:00,DERIVED_NIGHT_ENDED_BY_ATTRIBUTION_DATE_0600,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanFuturesDaily&data_id=TX&start_date=2024-01-01&end_date=2026-09-21,32ae1f1355e0f8744b442ee7d65940a9a3c027107d198fcd6df0bb9ff80085ba
USD_TWD,USD_BANK_SPOT_MID,2026-06-29,31.865000000000002,31.865000000000002,-0.00031372549019603735,2026-06-29T11:30:00+00:00,ASSUMED_TAIWAN_BANK_END_OF_DAY_1930,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanExchangeRate&data_id=USD&start_date=2024-01-01&end_date=2026-09-21,3ccd09ac85b0b18f4e6605271527af690fb84d1b6c09502520e2e2f5fcaa0a12
NASDAQ,^IXIC,2026-06-29,25820.14,25820.14,0.020654907457697602,2026-06-29T20:30:00+00:00,DERIVED_CONSERVATIVE_US_SESSION_CLOSE_PLUS_30M,https://api.finmindtrade.com/api/v4/data?dataset=USStockPrice&data_id=^IXIC&start_date=2024-01-01&end_date=2026-09-21,72fb60386a39aedbc9b533767c0abb43c9b666c31706941b186ae1794cc2c04a
