strategy,stage,episode,date,best_iteration,validation_pearson,train_pearson,n_train_rows,n_validation_rows,refit_rows,train_start,validation_end
lgbm_control,full,dev_2020_08,2020-08-03,329,0.062572,0.492214,31008,10075,,2019-01-02,2020-07-17
lgbm_control,full,dev_2020_08,2020-08-10,748,0.064246,0.587128,31538,10211,,2019-01-02,2020-07-24
lgbm_control,full,dev_2020_08,2020-08-17,17,0.074342,0.432043,32086,10350,,2019-01-02,2020-07-31
lgbm_control,full,dev_2020_08,2020-08-24,760,0.050805,0.603486,32631,10488,,2019-01-02,2020-08-07
lgbm_control,full,dev_2020_08,2020-08-31,1,0.031664,0.436221,33178,10631,,2019-01-02,2020-08-14
lgbm_control,full,dev_2020_08m,2020-08-17,17,0.074342,0.432043,32086,10350,,2019-01-02,2020-07-31
lgbm_control,full,dev_2020_08m,2020-08-24,760,0.050805,0.603486,32631,10488,,2019-01-02,2020-08-07
lgbm_control,full,dev_2020_08m,2020-08-31,1,0.031664,0.436221,33178,10631,,2019-01-02,2020-08-14
lgbm_control,full,dev_2020_08m,2020-09-07,1,0.034921,0.443609,33726,10774,,2019-01-02,2020-08-21
lgbm_control,full,dev_2020_08m,2020-09-14,56,0.037691,0.472131,34274,10916,,2019-01-02,2020-08-28
lgbm_control,full,dev_2020_09,2020-09-01,626,0.027674,0.584957,33315,10633,,2019-01-02,2020-08-17
lgbm_control,full,dev_2020_09,2020-09-08,2,0.040936,0.437012,33863,10775,,2019-01-02,2020-08-24
lgbm_control,full,dev_2020_09,2020-09-15,1,0.061616,0.440607,34411,10917,,2019-01-02,2020-08-31
lgbm_control,full,dev_2020_09,2020-09-22,74,0.076876,0.482565,34954,11062,,2019-01-02,2020-09-07
lgbm_control,full,dev_2020_09,2020-09-29,31,0.06538,0.461445,35498,11203,,2019-01-02,2020-09-14
lgbm_control,full,dev_2020_09m,2020-09-15,1,0.061616,0.440607,34411,10917,,2019-01-02,2020-08-31
lgbm_control,full,dev_2020_09m,2020-09-22,74,0.076876,0.482565,34954,11062,,2019-01-02,2020-09-07
lgbm_control,full,dev_2020_09m,2020-09-29,31,0.06538,0.461445,35498,11203,,2019-01-02,2020-09-14
lgbm_control,full,dev_2020_09m,2020-10-08,1,0.056993,0.42784,36042,11349,,2019-01-02,2020-09-21
