strategy,stage,episode,date,best_iteration,train_pearson,validation_pearson,prediction_std,n_train_rows,n_validation_rows,n_symbols
lgbm_execution_alpha,smoke,dev_2021_04m,2021-05-14,114,0.297128,0.05529,0.003762,80458,20718,140
lgbm_execution_alpha,smoke,dev_2021_11m,2021-11-15,6,0.243619,0.045076,0.000531,80684,20786,141
lgbm_execution_alpha,smoke,dev_2021_11m,2021-11-22,130,0.308125,0.038093,0.007088,80709,20786,141
lgbm_execution_alpha,smoke,dev_2021_11m,2021-11-29,23,0.26085,0.031071,0.001981,80733,20789,141
lgbm_execution_alpha,smoke,dev_2021_11m,2021-12-06,163,0.316952,0.001499,0.008742,80760,20790,141
lgbm_execution_alpha,smoke,dev_2021_11m,2021-12-13,1,0.23728,-0.02882,0.000103,80791,20784,141
lgbm_raw,full,dev_2019_01,2019-01-02,2,0.23994,0.056651,0.000195,41454,20314,138
lgbm_raw,full,dev_2019_01,2019-01-09,75,0.325939,0.025392,0.005386,41504,20313,138
lgbm_raw,full,dev_2019_01,2019-01-16,8,0.245168,0.043433,0.001135,41553,20316,138
lgbm_raw,full,dev_2019_01,2019-01-23,1245,0.602822,0.04407,0.024991,41602,20316,138
lgbm_raw,full,dev_2019_01,2019-01-30,5,0.271056,0.060444,0.000681,41651,20317,138
lgbm_raw,full,dev_2019_01m,2019-01-15,528,0.483987,0.036307,0.018286,41543,20315,138
lgbm_raw,full,dev_2019_01m,2019-01-22,313,0.422923,0.038343,0.01617,41593,20317,138
lgbm_raw,full,dev_2019_01m,2019-01-29,1,0.268299,0.062043,0.000136,41641,20316,138
lgbm_raw,full,dev_2019_01m,2019-02-14,418,0.450124,0.041949,0.016159,41688,20320,138
lgbm_raw,full,dev_2019_01m,2019-02-21,277,0.399744,0.043699,0.012513,41735,20321,138
lgbm_raw,full,dev_2019_02,2019-02-11,6,0.270221,0.054907,0.000821,41661,20317,138
lgbm_raw,full,dev_2019_02,2019-02-18,3000,0.709139,0.06102,0.030052,41708,20320,138
lgbm_raw,full,dev_2019_02,2019-02-25,1948,0.65481,0.069159,0.024198,41753,20321,138
lgbm_raw,full,dev_2019_02,2019-03-06,175,0.353607,0.051193,0.01104,41796,20329,138
lgbm_raw,full,dev_2019_02,2019-03-13,100,0.333547,0.054191,0.007244,41845,20337,138
lgbm_raw,full,dev_2019_02m,2019-02-15,1350,0.598914,0.045376,0.024464,41698,20320,138
lgbm_raw,full,dev_2019_02m,2019-02-22,345,0.418807,0.054505,0.014343,41744,20321,138
lgbm_raw,full,dev_2019_02m,2019-03-05,193,0.365932,0.053811,0.011257,41787,20327,138
lgbm_raw,full,dev_2019_02m,2019-03-12,89,0.331854,0.052769,0.006555,41835,20336,138
lgbm_raw,full,dev_2019_02m,2019-03-19,260,0.388677,0.051341,0.013336,42312,20340,138
lgbm_raw,full,dev_2019_03,2019-03-04,1455,0.612688,0.063507,0.023258,41778,20325,138
lgbm_raw,full,dev_2019_03,2019-03-11,117,0.339788,0.049112,0.008512,41825,20334,138
lgbm_raw,full,dev_2019_03,2019-03-18,149,0.345609,0.051053,0.010475,42195,20339,138
lgbm_raw,full,dev_2019_03,2019-03-25,4,0.263196,0.057026,0.000446,42780,20347,138
lgbm_raw,full,dev_2019_03,2019-04-01,1712,0.640957,0.064556,0.021075,43368,20359,138
lgbm_raw,full,dev_2019_03m,2019-03-15,240,0.380099,0.053151,0.013046,42077,20338,138
lgbm_raw,full,dev_2019_03m,2019-03-22,7,0.271418,0.065438,0.000804,42662,20345,138
lgbm_raw,full,dev_2019_03m,2019-03-29,587,0.488078,0.059199,0.01606,43250,20358,138
lgbm_raw,full,dev_2019_03m,2019-04-09,291,0.40157,0.049245,0.011023,43836,20366,138
lgbm_raw,full,dev_2019_03m,2019-04-16,2075,0.654649,0.065173,0.020741,44408,20379,138
lgbm_raw,full,dev_2019_04,2019-04-01,1712,0.640957,0.064556,0.021075,43368,20359,138
lgbm_raw,full,dev_2019_04,2019-04-10,74,0.30834,0.045253,0.005397,43952,20370,138
lgbm_raw,full,dev_2019_04,2019-04-17,1645,0.624975,0.056323,0.019146,44518,20381,138
lgbm_raw,full,dev_2019_04,2019-04-24,31,0.299321,0.064287,0.002576,45068,20399,138
lgbm_raw,full,dev_2019_04,2019-05-02,388,0.435374,0.076586,0.011126,45615,20417,138
lgbm_raw,full,dev_2019_04m,2019-04-15,1442,0.610146,0.053063,0.017912,44298,20376,138
lgbm_raw,full,dev_2019_04m,2019-04-22,21,0.293632,0.057795,0.001324,44850,20393,138
lgbm_raw,full,dev_2019_04m,2019-04-29,50,0.303554,0.075169,0.003864,45397,20411,138
lgbm_raw,full,dev_2019_04m,2019-05-07,322,0.406443,0.067591,0.010422,45942,20428,138
lgbm_raw,full,dev_2019_04m,2019-05-14,37,0.292204,0.069925,0.003341,46485,20448,138
lgbm_raw,full,dev_2019_05,2019-05-02,388,0.435374,0.076586,0.011126,45615,20417,138
lgbm_raw,full,dev_2019_05,2019-05-09,12,0.272732,0.060718,0.001247,46159,20437,138
lgbm_raw,full,dev_2019_05,2019-05-16,47,0.292775,0.066747,0.004754,46703,20456,138
lgbm_raw,full,dev_2019_05,2019-05-23,61,0.311103,0.06106,0.00616,47243,20477,138
lgbm_raw,full,dev_2019_05,2019-05-30,31,0.295473,0.049058,0.003601,47783,20499,138
lgbm_raw,full,dev_2019_05m,2019-05-15,54,0.306843,0.073222,0.004376,46594,20452,138
lgbm_raw,full,dev_2019_05m,2019-05-22,48,0.303242,0.062554,0.005043,47135,20473,138
lgbm_raw,full,dev_2019_05m,2019-05-29,13,0.283374,0.052723,0.00161,47675,20494,138
lgbm_raw,full,dev_2019_05m,2019-06-05,47,0.302292,0.027699,0.004849,48215,20515,138
lgbm_raw,full,dev_2019_05m,2019-06-13,3,0.26716,0.029551,0.000368,48755,20532,138
lgbm_raw,full,dev_2019_06,2019-06-03,21,0.291799,0.036761,0.002383,48000,20508,138
lgbm_raw,full,dev_2019_06,2019-06-11,4,0.268134,0.027866,0.00049,48540,20527,138
lgbm_raw,full,dev_2019_06,2019-06-18,2990,0.686643,0.032371,0.026866,49076,20541,138
lgbm_raw,full,dev_2019_06,2019-06-25,1,0.266453,-0.033852,0.000122,49620,20562,138
lgbm_raw,full,dev_2019_06,2019-07-02,1,0.268353,-0.057472,0.000104,49617,20582,138
lgbm_raw,full,dev_2019_06m,2019-06-17,5,0.269972,-0.009955,0.000612,48970,20538,138
lgbm_raw,full,dev_2019_06m,2019-06-24,6,0.281141,-0.020867,0.000675,49511,20557,138
lgbm_raw,full,dev_2019_06m,2019-07-01,8,0.272373,-0.051484,0.000842,49618,20579,138
lgbm_raw,full,dev_2019_06m,2019-07-08,13,0.262872,-0.058615,0.001172,49612,20597,138
lgbm_raw,full,dev_2019_06m,2019-07-15,2,0.268074,-0.038287,0.000185,50151,20612,138
lgbm_raw,full,dev_2019_07,2019-07-01,8,0.272373,-0.051484,0.000842,49618,20579,138
