candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return
tune_119e735f999f,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_11ac3916980e,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_11bc087ad031,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_12d26e0c2081,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_1395d2b69edf,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_15656c5557fa,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_15c1e001a0dc,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_1637856a3492,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_168ebd6d1d8a,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_16c1b260f97b,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_16d142a16bc9,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_16f049476d1a,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_17cc982bf141,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_17ff0a5fcfca,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_185ee3e46ed0,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_1890d6dc8fc2,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_18f36193fcab,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_1b15e2de659e,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_1b2ae9f4ebf4,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_1b6c7b09daf9,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_1d46259f124f,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_1de177bd56d8,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_1e20f6024900,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_1ede290cf22b,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2095895afcd1,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2198e78f15c5,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_225ddf8b1bef,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_23761b6cecbc,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2377564e1162,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2396058caa71,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_240dc86359d0,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2529eb3e43ee,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2563a22fde69,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_25a21156d56c,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_25cf184ec250,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_25d7b6c7f1b0,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_25fcea3b67ae,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2796bf116595,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_284494ddb4de,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2948b6ef149f,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_299a6861de38,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2afdb7a36bbb,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2b1d1acdaa10,1,0,0,1,0.0,0.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
tune_2c207f78163a,1,0,1,1,0.0,1.0,MEASURED_PASS_COMPLETE_EPISODES_ONLY,,,,,,,,0.0,,,,,-1.0,-1.0,-1.0,-1.0
