phase,candidate_id
B,tune_ae5e47a3438c
B,tune_aa4dc85b1961
B,tune_40c462f37029
B,tune_a52d29faac59
B,tune_a288ce68f77f
B,tune_d4af1ecb4cbb
B,tune_a376c3d9455b
B,tune_474374981e80
B,tune_9b4aabb5dfd4
B,tune_cf2a827caae4
B,tune_a0cfb5a01899
B,tune_3c42933d3dad
C,tune_9b4aabb5dfd4
C,tune_b59d9c85c7ce
C,tune_4ad8f40f919c
C,tune_9843bca1ee3b
C,tune_cf1b1e95617a
C,tune_34ffaa954600
C,tune_93317257813e
C,tune_4382a9e1bca9
C,tune_d213bd27ceb1
C,tune_2fe2cbfba852
C,tune_d1cc64370fa5
C,tune_fe5dee029c9a
C,tune_c316be667b85
C,tune_68783cc9d5d1
C,tune_5b52f2e8ccba
C,tune_c7a9abf1a433
C,tune_ecde4fc3a00e
C,tune_1411b15cc622
C,tune_865eebc2b755
D,tune_7a27e4795ebe
D,tune_2b74dd157842
D,tune_6b66ae1e71ac
D,tune_a6c3f808a73b
D,tune_99ff18415b04
D,tune_2d4e59598033
D,tune_186972a2375a
D,tune_ced9b352fa5e
D,tune_fbfaf07cdf65
D,tune_3152d48edb80
D,tune_62d05ede94e3
D,tune_f5cc77318b02
D,tune_4f02e82ad5a6
D,tune_0f1190fc3b44
D,tune_fe5dee029c9a
D,tune_c0cb2d97c388
D,tune_ca70d777c5c6
D,tune_93ba9201410c
D,tune_48f4c59308fe
D,tune_b1a693b302cb
D,tune_f3869e04aaf7
D,tune_b7c32b870663
D,tune_aabb2775e999
D,tune_6ddbe64ad3c0
D,tune_70764158158b
D,tune_ba8a2e2c3bb4
D,tune_35c1d12a94c0
D,tune_59bc35a77099
D,tune_cde727e6db83
D,tune_83492a4a8773
D,tune_60363f4c5fbd
D,tune_bbd395326b76
D,tune_9d3f3f03ffc1
D,tune_e73702a15486
D,tune_5cccebee6f9e
D,tune_c8e7738685ad
D,tune_602535d35c7a
D,tune_903fb29185ad
D,tune_049cbdc0fb34
D,tune_303ade4f1c7a
D,tune_5ef2b9fb7e80
D,tune_289f32ed4550
E,tune_3c51195e9343
E,tune_602535d35c7a
E,tune_d5eaf530cea8
E,tune_48681dd597a1
E,tune_b3597b204c85
E,tune_d77c7cdd45ea
E,tune_8730e0f06c60
E,tune_d6ba6c23bbc3
E,tune_4bdad17c2c61
E,tune_21a3cc0abdbc
E,tune_05407b77b68a
E,tune_93cabc25562d
E,tune_857b46091cd8
E,tune_0c91cf62c184
E,tune_35ce736ebbb4
E,tune_901ada1dabc3
E,tune_12fc32527c2f
E,tune_9f13c6ba92db
E,tune_0faabea4019f
E,tune_c0c8ee48fafd
E,tune_2a857ca17ee8
F,tune_d6ba6c23bbc3
F,tune_ebf93ab1c0e5
F,tune_55ee93a8d6d6
F,tune_3bff5cac351a
F,tune_4de6aa28fe8e
F,tune_832de03d900e
F,tune_57ca837f4dfc
F,tune_358ec2816604
F,tune_21a3cc0abdbc
F,tune_89e9666e4f96
F,tune_78d170b8dff9
F,tune_5fa668940c99
F,tune_3e53612bdd14
F,tune_62a6b53153b8
F,tune_dcd7bc955e6d
F,tune_f44b91a7f482
F,tune_4bdad17c2c61
F,tune_3d4b001c3f76
F,tune_ca57d575298d
F,tune_cdf91b93d781
F,tune_3a8a81405f99
F,tune_be7a64aa3ecb
F,tune_3f63fcadce8f
F,tune_09aa047ebc86
F,tune_9f13c6ba92db
F,tune_5ea36787b06b
F,tune_450daea0fe62
F,tune_ab7d24fc668d
F,tune_21243c1346ab
F,tune_60894b1decdc
F,tune_1541aa9b6be5
F,tune_e95feaf6c642
F,tune_d77c7cdd45ea
F,tune_b684ab185558
F,tune_7bc5f1778794
F,tune_96be2b31b3b6
F,tune_6d0b65cf4be0
F,tune_e745a2019d2c
F,tune_d8abfda9780f
F,tune_fd18c98a3d9e
G,tune_9aa4cae403c3
G,tune_9a14d296f721
G,tune_163b0282e775
G,tune_87ce3dc76151
G,tune_d68985000185
G,tune_a25933dffe21
G,tune_75d54a7af4f7
G,tune_0debc953a3c1
G,tune_89e18125a030
G,tune_39cb12870b20
G,tune_1a6ec8ba025a
G,tune_3c66f3f260cf
G,tune_825247abe25b
G,tune_ad90af2b0ddb
G,tune_459006646955
G,tune_1a111e3b385f
G,tune_77a1fef7948e
G,tune_e7fd407c7fdb
G,tune_76570e0ff160
G,tune_ca6b1a2b5cc2
G,tune_d5f4e7219e82
G,tune_242e818780b0
G,tune_41c8e1871dc6
G,tune_09a34eeb0fd6
G,tune_b6e199252eab
G,tune_2beb73c86e9d
G,tune_8d75ce705810
G,tune_0c5d3cc92b4f
G,tune_53b732ccf2eb
G,tune_ec1aeebd66d8
G,tune_6abd5e0a9d5b
G,tune_9f3268738d67
G,tune_27a91357c275
G,tune_a11a9fecc309
G,tune_8a4b8a7c1e6b
G,tune_9d8ef5515ff6
G,tune_6f0787f22caa
G,tune_fe7d47fadb42
G,tune_1e45b7c23bee
G,tune_1b7f9527969a
G,tune_ca3fa02f502d
G,tune_6013d5877867
G,tune_a0ef9fcc74ac
G,tune_d7ac81a662e9
G,tune_6ed1cd541a93
G,tune_0901cf864d8a
G,tune_e0674a43b104
G,tune_91ba5a09c4c1
