strategy,stage,episode,date,best_iteration,validation_pearson,train_pearson,target_std,prediction_std,n_train_rows,n_validation_rows,n_symbols,latest_label_end,raw_target_mean,raw_target_std,alpha_target_mean,alpha_target_std,alpha_cross_section_mean_error
lgbm_raw,full,dev_2019_04m,2019-04-15,1442,0.053063,0.610146,0.070148,0.017912,44298,20376,138,2019-04-12,0.0072,0.066459,0.0,0.059637,0.0
lgbm_raw,full,dev_2019_04m,2019-04-22,21,0.057795,0.293632,0.070324,0.001324,44850,20393,138,2019-04-19,0.007203,0.066468,-0.0,0.059659,0.0
lgbm_raw,full,dev_2019_04m,2019-04-29,50,0.075169,0.303554,0.070717,0.003864,45397,20411,138,2019-04-26,0.007259,0.066469,0.0,0.059656,0.0
lgbm_raw,full,dev_2019_04m,2019-05-07,322,0.067591,0.406443,0.070249,0.010422,45942,20428,138,2019-05-06,0.007348,0.066481,0.0,0.059688,0.0
lgbm_raw,full,dev_2019_04m,2019-05-14,37,0.069925,0.292204,0.069949,0.003341,46485,20448,138,2019-05-13,0.007306,0.066513,0.0,0.059693,0.0
lgbm_raw,full,dev_2019_05,2019-05-02,388,0.076586,0.435374,0.070576,0.011126,45615,20417,138,2019-04-30,0.007304,0.066462,0.0,0.059662,0.0
lgbm_raw,full,dev_2019_05,2019-05-09,12,0.060718,0.272732,0.070077,0.001247,46159,20437,138,2019-05-08,0.007384,0.06646,0.0,0.059679,0.0
lgbm_raw,full,dev_2019_05,2019-05-16,47,0.066747,0.292775,0.070083,0.004754,46703,20456,138,2019-05-15,0.007232,0.066567,0.0,0.059719,0.0
lgbm_raw,full,dev_2019_05,2019-05-23,61,0.06106,0.311103,0.070735,0.00616,47243,20477,138,2019-05-22,0.006817,0.066862,0.0,0.059789,0.0
lgbm_raw,full,dev_2019_05,2019-05-30,31,0.049058,0.295473,0.0705,0.003601,47783,20499,138,2019-05-29,0.006624,0.067075,0.0,0.059934,0.0
lgbm_raw,full,dev_2019_05m,2019-05-15,54,0.073222,0.306843,0.070014,0.004376,46594,20452,138,2019-05-14,0.00728,0.066539,0.0,0.059707,0.0
lgbm_raw,full,dev_2019_05m,2019-05-22,48,0.062554,0.303242,0.070627,0.005043,47135,20473,138,2019-05-21,0.006883,0.066811,0.0,0.059774,0.0
lgbm_raw,full,dev_2019_05m,2019-05-29,13,0.052723,0.283374,0.070788,0.00161,47675,20494,138,2019-05-28,0.00665,0.067027,0.0,0.059896,0.0
lgbm_raw,full,dev_2019_05m,2019-06-05,47,0.027699,0.302292,0.069437,0.004849,48215,20515,138,2019-06-04,0.006873,0.067001,0.0,0.059962,0.0
lgbm_raw,full,dev_2019_05m,2019-06-13,3,0.029551,0.26716,0.068952,0.000368,48755,20532,138,2019-06-12,0.007365,0.066844,0.0,0.059937,0.0
lgbm_raw,full,dev_2019_06,2019-06-03,21,0.036761,0.291799,0.069994,0.002383,48000,20508,138,2019-05-31,0.006718,0.067077,0.0,0.05997,0.0
lgbm_raw,full,dev_2019_06,2019-06-11,4,0.027866,0.268134,0.068941,0.00049,48540,20527,138,2019-06-10,0.007117,0.066911,0.0,0.05995,0.0
lgbm_raw,full,dev_2019_06,2019-06-18,2990,0.032371,0.686643,0.069444,0.026866,49076,20541,138,2019-06-17,0.0077,0.066617,0.0,0.059812,0.0
lgbm_raw,full,dev_2019_06,2019-06-25,1,-0.033852,0.266453,0.070082,0.000122,49620,20562,138,2019-06-24,0.00807,0.066468,0.0,0.059624,0.0
lgbm_raw,full,dev_2019_06,2019-07-02,1,-0.057472,0.268353,0.069843,0.000104,49617,20582,138,2019-07-01,0.008008,0.066359,0.0,0.059544,0.0
lgbm_raw,full,dev_2019_06m,2019-06-17,5,-0.009955,0.269972,0.069325,0.000612,48970,20538,138,2019-06-14,0.007618,0.066699,0.0,0.059868,0.0
lgbm_raw,full,dev_2019_06m,2019-06-24,6,-0.020867,0.281141,0.070067,0.000675,49511,20557,138,2019-06-21,0.008043,0.066489,0.0,0.059654,0.0
lgbm_raw,full,dev_2019_06m,2019-07-01,8,-0.051484,0.272373,0.0699,0.000842,49618,20579,138,2019-06-28,0.008019,0.066361,0.0,0.059536,0.0
lgbm_raw,full,dev_2019_06m,2019-07-08,13,-0.058615,0.262872,0.069612,0.001172,49612,20597,138,2019-07-05,0.007891,0.066286,0.0,0.05953,0.0
lgbm_raw,full,dev_2019_06m,2019-07-15,2,-0.038287,0.268074,0.069666,0.000185,50151,20612,138,2019-07-12,0.008027,0.066221,0.0,0.05947,0.0
lgbm_raw,full,dev_2019_07,2019-07-01,8,-0.051484,0.272373,0.0699,0.000842,49618,20579,138,2019-06-28,0.008019,0.066361,0.0,0.059536,0.0
lgbm_raw,full,dev_2019_07,2019-07-08,13,-0.058615,0.262872,0.069612,0.001172,49612,20597,138,2019-07-05,0.007891,0.066286,0.0,0.05953,0.0
lgbm_raw,full,dev_2019_07,2019-07-15,2,-0.038287,0.268074,0.069666,0.000185,50151,20612,138,2019-07-12,0.008027,0.066221,0.0,0.05947,0.0
lgbm_raw,full,dev_2019_07,2019-07-22,1,-0.004467,0.264775,0.069665,8.5e-05,50694,20621,138,2019-07-19,0.008093,0.066172,0.0,0.05945,0.0
lgbm_raw,full,dev_2019_07,2019-07-29,706,0.007541,0.490622,0.06957,0.0123,51265,20624,138,2019-07-26,0.008302,0.066299,0.0,0.059565,0.0
lgbm_raw,full,dev_2019_07m,2019-07-15,2,-0.038287,0.268074,0.069666,0.000185,50151,20612,138,2019-07-12,0.008027,0.066221,0.0,0.05947,0.0
lgbm_raw,full,dev_2019_07m,2019-07-22,1,-0.004467,0.264775,0.069665,8.5e-05,50694,20621,138,2019-07-19,0.008093,0.066172,0.0,0.05945,0.0
lgbm_raw,full,dev_2019_07m,2019-07-29,706,0.007541,0.490622,0.06957,0.0123,51265,20624,138,2019-07-26,0.008302,0.066299,0.0,0.059565,0.0
lgbm_raw,full,dev_2019_07m,2019-08-05,22,0.011746,0.277725,0.069708,0.001624,51813,20624,138,2019-08-02,0.008246,0.066298,0.0,0.059565,0.0
lgbm_raw,full,dev_2019_07m,2019-08-13,57,0.002916,0.307425,0.070036,0.002684,52365,20630,138,2019-08-12,0.007823,0.066433,0.0,0.059683,0.0
lgbm_raw,full,dev_2019_08,2019-08-01,29,0.002034,0.28474,0.069595,0.002047,51594,20625,138,2019-07-31,0.008282,0.066283,0.0,0.059552,0.0
lgbm_raw,full,dev_2019_08,2019-08-08,47,0.010448,0.294639,0.069934,0.002518,52143,20627,138,2019-08-07,0.008031,0.066376,0.0,0.059609,0.0
lgbm_raw,full,dev_2019_08,2019-08-16,96,-0.011746,0.321108,0.070119,0.00395,52699,20630,138,2019-08-15,0.00755,0.066518,0.0,0.059795,0.0
lgbm_raw,full,dev_2019_08,2019-08-23,25,-0.010387,0.26381,0.070194,0.001356,53251,20632,138,2019-08-22,0.007384,0.066521,0.0,0.05988,0.0
