symbol,code,regular_listing_date,source_url,raw_path,use
1337.TW,1337,2011-07-01,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1338.TW,1338,2012-12-19,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1339.TW,1339,2012-04-24,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1340.TW,1340,2013-12-06,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1341.TW,1341,2018-12-24,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1342.TW,1342,2020-11-24,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1402.TW,1402,1967-04-14,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1409.TW,1409,1973-08-31,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1410.TW,1410,1973-10-18,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1413.TW,1413,1975-12-23,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1414.TW,1414,1976-02-02,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1416.TW,1416,1976-04-20,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1417.TW,1417,1976-12-28,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1418.TW,1418,1977-02-14,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1419.TW,1419,1977-03-14,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1423.TW,1423,1979-04-02,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1432.TW,1432,1982-07-26,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1434.TW,1434,1985-12-24,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1435.TW,1435,1987-12-28,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1436.TW,1436,1988-04-11,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1437.TW,1437,1988-11-10,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1438.TW,1438,1988-12-15,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1439.TW,1439,1989-05-22,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1440.TW,1440,1989-10-03,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1441.TW,1441,1989-10-27,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1442.TW,1442,1989-11-16,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1443.TW,1443,1990-04-21,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1444.TW,1444,1990-08-08,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1445.TW,1445,1991-02-05,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1446.TW,1446,1991-10-15,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1447.TW,1447,1992-01-28,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1449.TW,1449,1992-03-12,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1451.TW,1451,1992-12-21,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1452.TW,1452,1992-12-28,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1453.TW,1453,1993-04-19,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1454.TW,1454,1993-05-07,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1455.TW,1455,1993-10-07,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1456.TW,1456,1993-12-09,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1457.TW,1457,1994-10-20,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
1459.TW,1459,1994-10-26,https://isin.twse.com.tw/isin/C_public.jsp?strMode=2,data/tuning_2nd/official_universe/raw/listing/isin_2.html,historical_listing_event_only_not_historical_industry
