date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan
2025-09-15,1137329092.8109863,1156526272.8109863,98641092.81098628,0.08673047531668086,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-09-16,1151240092.8109863,1170437272.8109863,98641092.81098628,0.08568246834605459,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-09-17,1143820864.508984,1163018044.508984,98641092.81098628,0.08623823526189184,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-09-18,1154949706.9619873,1174146886.9619873,98641092.81098628,0.08540726251228258,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-09-19,1155877092.8109863,1175074272.8109863,98641092.81098628,0.08533873836975198,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-09-22,1163296321.1129882,1182493501.1129882,98641092.81098628,0.08479446811678304,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-09-23,1182771706.9619873,1201968886.9619873,98641092.81098628,0.08339825194529825,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-09-24,1181844321.1129882,1201041501.1129882,98641092.81098628,0.08346369403213122,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-09-25,1178134706.9619873,1197331886.9619873,98641092.81098628,0.08372649768153291,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-09-26,1160514092.8109863,1179711272.8109863,98641092.81098628,0.08499775523799005,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-09-30,1170715478.6599853,1189912658.6599853,98641092.81098628,0.08425710141279762,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-01,1176279864.508984,1195477044.508984,98641092.81098628,0.08385852362793114,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-02,1196682706.9619873,1215879886.9619873,98641092.81098628,0.08242877768444232,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-03,1212448478.6599853,1231645658.6599853,98641092.81098628,0.08135693561181731,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-07,1243052706.9619873,1262249886.9619873,98641092.81098628,0.07935391014276817,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-08,1232851321.1129882,1252048501.1129882,98641092.81098628,0.08001053421586594,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-09,1241197864.508984,1260395044.508984,98641092.81098628,0.07947249639364191,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-13,1230069092.8109863,1249266272.8109863,98641092.81098628,0.08019150581661154,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-14,1224504706.9619873,1243701886.9619873,98641092.81098628,0.08055591150459206,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-15,1244907478.6599853,1264104658.6599853,98641092.81098628,0.07923568176902854,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-16,1267165092.8109863,1286362272.8109863,98641092.81098628,0.07784391581697386,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-17,1249544478.6599853,1268741658.6599853,98641092.81098628,0.07894164193080125,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-20,1269019864.508984,1288217044.508984,98641092.81098628,0.07773014085098898,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-21,1270874706.9619873,1290071886.9619873,98641092.81098628,0.0776166936603741,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-22,1261600706.9619873,1280797886.9619873,98641092.81098628,0.07818725232686351,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-23,1255108864.508984,1274306044.508984,98641092.81098628,0.0785916629228621,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-27,1282003478.6599853,1301200658.6599853,98641092.81098628,0.07694292133597869,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-28,1273656864.508984,1292854044.508984,98641092.81098628,0.07744714888261059,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
2025-10-29,1293132321.1129882,1312329501.1129882,98641092.81098628,0.07628074188578529,1,19197180.0,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,HOLD
