date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume,rejection
2013-07-01,2013-06-28,3324.TWO,3324.TWO,4811000,21.2,101993200.0,145340.31,0.0,0.0,17.6875,272000.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3481.TW,3481.TW,6388000,15.534487497288177,99234306.13267687,141408.88623906454,0.0,0.0,0.07641431314250585,83596904.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3680.TWO,3680.TWO,1000,59.284009005640605,59284.009005640604,84.47971283303787,0.0,0.0,0.001150439525420687,869233.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,4938.TW,4938.TW,1000,50.34886238986846,50348.86238986846,71.74712890556256,0.0,0.0,0.0001814283417921274,5511818.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,4958.TW,4958.TW,1000,69.16597693197775,69165.97693197776,98.5615171280683,0.0,0.0,0.0008235638076649084,1214235.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,4966.TWO,4966.TWO,401000,240.30229788029956,96361221.45000012,137314.74056625017,0.0,0.0,0.9868801543569159,406331.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,5274.TWO,5274.TWO,1000,146.87484425121286,146874.84425121287,209.29665305797835,0.0,0.0,0.008836810618311638,113163.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,6182.TWO,6182.TWO,1000,14.40416416348657,14404.16416348657,20.525933932968364,0.0,0.0,0.0005640969231333327,1772745.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,8046.TW,8046.TW,1000,39.89469870069276,39894.69870069276,56.849945648487186,0.0,0.0,0.0005515120530201627,1813197.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,8069.TWO,8069.TWO,5504000,17.67877398297609,97303972.0023004,138658.16010327806,0.0,0.0,0.6048804311619363,9099319.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3131.TWO;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
