date,A,A_dplan_guard,v1_matched,0050
2025-03-06,988407786.6128412,988407786.6128412,989895334.7077028,970860821.112988
2025-03-07,978163688.9749691,978163688.9749691,984399658.7587554,962746071.112988
2025-03-10,975373554.551162,975373554.551162,979839020.3708404,957645342.8109864
2025-03-11,962959449.3928896,962959449.3928896,970678147.184077,942575092.8109864
2025-03-12,966801301.040542,966801301.040542,974749663.1517556,946284706.9619873
2025-03-13,962579556.5945144,962579556.5945144,965349015.0739548,938401821.112988
2025-03-14,964245354.8996257,964245354.8996257,972705826.238857,935619592.8109864
2025-03-17,966045654.831954,966045654.831954,970572670.9535648,942806956.9619873
2025-03-18,968440055.6084852,968440055.6084852,973885938.6434952,946284706.9619873
2025-03-19,959945102.3837082,959945102.3837082,967929469.251892,935851456.9619873
2025-03-20,975588005.2342352,975588005.2342352,983494126.5244296,953935728.6599852
2025-03-21,967077750.3437898,967077750.3437898,980410356.629938,946980228.6599852
2025-03-24,956222107.6133436,956222107.6133436,966337504.7063916,946052842.8109864
2025-03-25,955862655.2509092,955862655.2509092,961887821.7470002,954863114.5089842
2025-03-26,962085504.4010834,962085504.4010834,964705396.9957314,954167592.8109864
2025-03-27,957066302.578896,957066302.578896,962520886.711024,937938092.8109864
2025-03-28,940170356.2038388,940170356.2038388,942317397.794178,929591478.6599852
2025-03-31,902724803.6807948,902724803.6807948,911652288.6157484,899682842.8109863
2025-04-01,919329209.2277806,919329209.2277806,924425083.5336806,916144206.9619873
2025-04-02,921536005.6344098,921536005.6344098,929027116.5407662,914753092.8109864
2025-04-07,850746604.9867917,850746604.9867917,852075068.0420046,833141864.5089842
2025-04-08,817428985.5827523,817428985.5827523,837904921.0485854,809261342.8109863
2025-04-09,765442601.1991769,765442601.1991769,806100120.9151587,776570478.6599853
2025-04-10,822533969.8812513,822533969.8812513,853878619.8445938,844270706.9619873
2025-04-11,834777900.6039975,834777900.6039975,856550610.597557,861659456.9619873
2025-04-14,839934142.5582618,839934142.5582618,859160712.3467952,857717978.6599853
2025-04-15,851340739.4939505,851340739.4939505,870688530.2479339,865369071.1129882
2025-04-16,840779737.2234782,840779737.2234782,865716592.6564841,851458071.1129882
2025-04-17,837009333.5253997,837009333.5253997,863751094.952299,843111456.9619873
2025-04-18,839000484.3559192,839000484.3559192,867186938.706592,844734364.5089842
2025-04-21,829621136.8740102,829621136.8740102,862711972.5298421,834069321.1129882
2025-04-22,823551383.3570985,823551383.3570985,856435673.5580544,821781228.6599853
2025-04-23,843372781.4761554,843372781.4761554,867297123.097124,853776571.1129882
2025-04-24,837139682.7734149,837139682.7734149,865034132.4359639,849371364.5089842
2025-04-25,841332178.0664423,841332178.0664423,867327131.3485093,867223842.8109863
2025-04-28,844097735.6547916,844097735.6547916,867903705.8005939,873715614.5089842
2025-04-29,850241632.4741066,850241632.4741066,871457624.2459488,876729706.9619873
2025-04-30,844154379.8598461,844154379.8598461,865740425.0270275,880439321.1129882
2025-05-02,851544381.8590457,851544381.8590457,872457864.481492,903160592.8109864
2025-05-05,845094280.3106227,845094280.3106227,866637343.4708927,895973228.6599853
2025-05-06,850898080.3690326,850898080.3690326,872389361.63887,891568092.8109863
2025-05-07,848642147.8229245,848642147.8229245,869039798.7362394,888554071.1129882
2025-05-08,855665264.6191723,855665264.6191723,875338426.795222,898987321.1129882
2025-05-09,864501525.4312997,864501525.4312997,885266622.343466,908956842.8109864
2025-05-12,869159655.9595656,869159655.9595656,891177097.0977793,917998978.6599852
2025-05-13,872228454.9040157,872228454.9040157,892651149.9767706,927968571.1129882
