effect,treated,control,split,dq_treatment,pairs,attempted,pairs_with_dq,median,p25,p10,mean,wins,losses,ties,sign_p,med_ci_lo,med_ci_hi,mean_ci_lo,mean_ci_hi,identical
rotation 1 vs 0 (momentum pure),A2,A1,development,exclude,18,18,0,-0.00116989,-0.0122332,-0.0207147,-0.00138949,9,9,0,1,-0.0118715,0.00760893,-0.0094878,0.00660852,False
rotation 1 vs 0 (momentum pure),A2,A1,development,minus100,18,18,0,-0.00116989,-0.0122332,-0.0207147,-0.00138949,9,9,0,1,-0.0121127,0.00760893,-0.00931131,0.00668973,False
rotation 1 vs 0 (momentum pure),A2,A1,validation,exclude,8,8,0,-0.0145947,-0.0243855,-0.0246807,-0.0123876,2,6,0,0.289062,-0.0246282,0.00181539,-0.0204927,-0.00286112,False
rotation 1 vs 0 (momentum pure),A2,A1,validation,minus100,8,8,0,-0.0145947,-0.0243855,-0.0246807,-0.0123876,2,6,0,0.289062,-0.0246282,0.00181539,-0.0204279,-0.00272647,False
rotation 1 vs 0 (momentum pure),A2,A1,historical_holdout,exclude,4,4,0,0.00940301,-0.00388907,-0.0127517,0.00800195,3,1,0,0.625,-0.0186601,0.0318619,-0.00955224,0.0248166,False
rotation 1 vs 0 (momentum pure),A2,A1,historical_holdout,minus100,4,4,0,0.00940301,-0.00388907,-0.0127517,0.00800195,3,1,0,0.625,-0.0186601,0.0318619,-0.00955224,0.0248166,False
rotation 1 vs 0 (momentum pure),A2,A1,core_all,exclude,30,30,0,-0.00516301,-0.0157104,-0.0243369,-0.00307014,14,16,0,0.855536,-0.0134701,0.00355894,-0.00933556,0.00328279,False
rotation 1 vs 0 (momentum pure),A2,A1,core_all,minus100,30,30,0,-0.00516301,-0.0157104,-0.0243369,-0.00307014,14,16,0,0.855536,-0.0134701,0.00355894,-0.00928903,0.00332074,False
rotation 1 vs 0 (momentum pure),A2,A1,val+holdout,exclude,12,12,0,-0.0129881,-0.0200712,-0.0245959,-0.00559111,5,7,0,0.774414,-0.0214823,0.00760703,-0.0151344,0.00489358,False
rotation 1 vs 0 (momentum pure),A2,A1,val+holdout,minus100,12,12,0,-0.0129881,-0.0200712,-0.0245959,-0.00559111,5,7,0,0.774414,-0.0214823,0.00760703,-0.0152851,0.00504302,False
confidence (momentum): A3 - A2,A3,A2,development,exclude,18,18,0,-0.00127331,-0.00976372,-0.0198454,0.00270386,8,10,0,0.814529,-0.00725658,0.0136708,-0.00797847,0.0131008,False
confidence (momentum): A3 - A2,A3,A2,development,minus100,18,18,0,-0.00127331,-0.00976372,-0.0198454,0.00270386,8,10,0,0.814529,-0.00795187,0.0138869,-0.00767905,0.0131093,False
confidence (momentum): A3 - A2,A3,A2,validation,exclude,8,8,0,0.0165757,0.00840116,-0.000891664,0.0148829,7,1,0,0.0703125,0.00738888,0.0275931,0.00279525,0.0251064,False
confidence (momentum): A3 - A2,A3,A2,validation,minus100,8,8,0,0.0165757,0.00840116,-0.000891664,0.0148829,7,1,0,0.0703125,0.00738888,0.0275931,0.00279525,0.0251221,False
confidence (momentum): A3 - A2,A3,A2,historical_holdout,exclude,4,4,0,-0.0222162,-0.0272127,-0.0300061,-0.0151088,1,3,0,0.625,-0.0318685,0.0158658,-0.0287646,0.00548415,False
confidence (momentum): A3 - A2,A3,A2,historical_holdout,minus100,4,4,0,-0.0222162,-0.0272127,-0.0300061,-0.0151088,1,3,0,0.625,-0.0318685,0.0158658,-0.0287646,0.00548415,False
confidence (momentum): A3 - A2,A3,A2,core_all,exclude,30,30,0,0.00556546,-0.0131786,-0.0257202,0.00357658,16,14,0,0.855536,-0.0036329,0.0155879,-0.00461892,0.0114576,False
confidence (momentum): A3 - A2,A3,A2,core_all,minus100,30,30,0,0.00556546,-0.0131786,-0.0257202,0.00357658,16,14,0,0.855536,-0.0036329,0.0155879,-0.00454521,0.0114062,False
confidence (momentum): A3 - A2,A3,A2,val+holdout,exclude,12,12,0,0.0123022,-0.0191319,-0.025116,0.00488567,8,4,0,0.387695,-0.0194923,0.0205554,-0.00794923,0.0173375,False
confidence (momentum): A3 - A2,A3,A2,val+holdout,minus100,12,12,0,0.0123022,-0.0191319,-0.025116,0.00488567,8,4,0,0.387695,-0.0194923,0.0205554,-0.00787085,0.0170395,False
confidence (adaptive): A11 - no_conf,A11,adaptive_no_confidence,development,exclude,18,18,0,0.0020116,-0.0146308,-0.032209,-0.00484242,11,7,0,0.480682,-0.0120978,0.0042923,-0.0143661,0.00387812,False
confidence (adaptive): A11 - no_conf,A11,adaptive_no_confidence,development,minus100,18,18,0,0.0020116,-0.0146308,-0.032209,-0.00484242,11,7,0,0.480682,-0.0120978,0.0042357,-0.0144459,0.00386406,False
confidence (adaptive): A11 - no_conf,A11,adaptive_no_confidence,validation,exclude,8,8,0,0.00495826,0.000629251,-0.00777354,0.00516077,6,2,0,0.289062,-0.00361221,0.0159325,-0.00293007,0.012422,False
confidence (adaptive): A11 - no_conf,A11,adaptive_no_confidence,validation,minus100,8,8,0,0.00495826,0.000629251,-0.00777354,0.00516077,6,2,0,0.289062,-0.00361221,0.0159325,-0.003063,0.0124496,False
confidence (adaptive): A11 - no_conf,A11,adaptive_no_confidence,historical_holdout,exclude,4,4,0,0.000237689,-0.0256492,-0.0580089,-0.0162294,2,2,0,1,-0.079582,0.014189,-0.0576498,0.011168,False
confidence (adaptive): A11 - no_conf,A11,adaptive_no_confidence,historical_holdout,minus100,4,4,0,0.000237689,-0.0256492,-0.0580089,-0.0162294,2,2,0,1,-0.079582,0.014189,-0.0576498,0.011168,False
confidence (adaptive): A11 - no_conf,A11,adaptive_no_confidence,core_all,exclude,30,30,0,0.00279564,-0.0075116,-0.029213,-0.00369317,19,11,0,0.200488,-0.00270126,0.0049617,-0.0123901,0.00385134,False
confidence (adaptive): A11 - no_conf,A11,adaptive_no_confidence,core_all,minus100,30,30,0,0.00279564,-0.0075116,-0.029213,-0.00369317,19,11,0,0.200488,-0.00270126,0.0049617,-0.012342,0.00367785,False
confidence (adaptive): A11 - no_conf,A11,adaptive_no_confidence,val+holdout,exclude,12,12,0,0.00495826,-0.00462704,-0.0165021,-0.00196929,8,4,0,0.387695,-0.00564188,0.0150103,-0.0183659,0.00952557,False
confidence (adaptive): A11 - no_conf,A11,adaptive_no_confidence,val+holdout,minus100,12,12,0,0.00495826,-0.00462704,-0.0165021,-0.00196929,8,4,0,0.387695,-0.00564188,0.0150103,-0.0182094,0.00957508,False
regime (momentum+conf): A4 - A3,A4,A3,development,exclude,18,18,0,0,0,0,1.65009e-05,1,0,17,1,0,0,0,4.95028e-05,False
regime (momentum+conf): A4 - A3,A4,A3,development,minus100,18,18,0,0,0,0,1.65009e-05,1,0,17,1,0,0,0,4.95028e-05,False
regime (momentum+conf): A4 - A3,A4,A3,validation,exclude,8,8,0,0,0,-7.69286e-06,-3.20536e-06,0,1,7,1,0,0,-9.61608e-06,0,False
regime (momentum+conf): A4 - A3,A4,A3,validation,minus100,8,8,0,0,0,-7.69286e-06,-3.20536e-06,0,1,7,1,0,0,-9.61608e-06,0,False
regime (momentum+conf): A4 - A3,A4,A3,historical_holdout,exclude,4,4,0,0,-0.000127049,-0.000355738,-0.000127049,0,1,3,1,-0.000508197,0,-0.000381147,0,False
regime (momentum+conf): A4 - A3,A4,A3,historical_holdout,minus100,4,4,0,0,-0.000127049,-0.000355738,-0.000127049,0,1,3,1,-0.000508197,0,-0.000381147,0,False
regime (momentum+conf): A4 - A3,A4,A3,core_all,exclude,30,30,0,0,0,0,-7.89408e-06,1,2,27,1,0,0,-5.16744e-05,2.88469e-05,False
regime (momentum+conf): A4 - A3,A4,A3,core_all,minus100,30,30,0,0,0,0,-7.89408e-06,1,2,27,1,0,0,-5.16744e-05,2.79922e-05,False
regime (momentum+conf): A4 - A3,A4,A3,val+holdout,exclude,12,12,0,0,0,-2.30786e-05,-4.44866e-05,0,2,10,0.5,0,0,-0.000131323,0,False
regime (momentum+conf): A4 - A3,A4,A3,val+holdout,minus100,12,12,0,0,0,-2.30786e-05,-4.44866e-05,0,2,10,0.5,0,0,-0.000129186,0,False
regime (direct): B2 - B1,B2,B1,development,exclude,18,18,0,0,0,0,0.000475572,2,1,15,1,0,0,-0.000109965,0.00151573,False
regime (direct): B2 - B1,B2,B1,development,minus100,18,18,0,0,0,0,0.000475572,2,1,15,1,0,0,-9.12401e-05,0.00151573,False
regime (direct): B2 - B1,B2,B1,validation,exclude,8,8,0,0,0,-0.000123944,0.00123073,2,1,5,1,0,0.00248128,-0.000103286,0.00322679,False
regime (direct): B2 - B1,B2,B1,validation,minus100,8,8,0,0,0,-0.000123944,0.00123073,2,1,5,1,0,0.00248128,-0.000103286,0.00322679,False
regime (direct): B2 - B1,B2,B1,historical_holdout,exclude,4,4,0,0,-0.000157341,-0.000440554,-0.000157341,0,1,3,1,-0.000629362,0,-0.000472022,0,False
regime (direct): B2 - B1,B2,B1,historical_holdout,minus100,4,4,0,0,-0.000157341,-0.000440554,-0.000157341,0,1,3,1,-0.000629362,0,-0.000472022,0,False
regime (direct): B2 - B1,B2,B1,core_all,exclude,30,30,0,0,0,-4.13146e-05,0.000592558,4,3,23,1,0,0,-4.83643e-05,0.00146355,False
regime (direct): B2 - B1,B2,B1,core_all,minus100,30,30,0,0,0,-4.13146e-05,0.000592558,4,3,23,1,0,0,-4.71611e-05,0.00144462,False
