candidate,split,attempted,complete,canonical,measured_pass,median,mean,p25,p10,worst,positive,median_dq_as_minus100,mdd,mean_mdd,turnover,cost_total,day1,day3,day5,cash_violation_days,weight_violation_days,holding_count_violation_days,odd_lot_issue_days,missing_execution_price_days,unfilled_days,no_valid_plan_days,hold_without_envelope_days,rejected_trade_count,family
A17,validation,8,8,8,7,0.00920651,0.0158151,-0.0237171,-0.0478875,-0.0665624,5,0.00920651,0.0906758,0.0579044,1.56932,2.5364e+07,0.912481,0.913914,0.914551,0,0,0,2,0,0,1,0,0,adaptive
A18,development,18,18,18,13,0.00830991,0.0192099,-0.0226146,-0.0856293,-0.126189,10,0.00830991,0.129074,0.0433597,0.913889,2.35319e+07,0.910573,0.910641,0.910363,0,0,0,62,0,0,59,0,0,adaptive
A18,validation,8,8,8,7,0.00998495,0.0165142,-0.0253708,-0.037618,-0.0627128,5,0.00998495,0.0886171,0.0562521,0.911938,1.03961e+07,0.912799,0.91296,0.913137,0,0,0,2,0,0,1,0,0,adaptive
A19,development,18,18,18,12,0.0123262,0.0195566,-0.0190087,-0.0839016,-0.111422,10,0.0123262,0.120911,0.0395255,0.908835,2.33116e+07,0.909929,0.909987,0.909726,0,0,0,74,0,0,70,0,0,adaptive
A2,development,18,18,18,12,0.0156257,0.0201905,-0.0117519,-0.0879249,-0.0983397,11,0.0156257,0.135457,0.042842,1.86598,7.27622e+07,0.909894,0.912012,0.917386,0,0,0,81,0,0,75,0,0,momentum
A2,historical_holdout,4,4,4,4,0.0439884,0.0275977,0.00934743,-0.0506515,-0.0906509,3,0.0439884,0.149605,0.0881559,1.90993,1.66702e+07,0.910801,0.913291,0.918169,0,0,0,0,0,0,0,0,0,momentum
A2,recent_diagnostic,3,3,2,1,0.00809531,0.0290806,0.00454983,0.00242255,0.00100436,3,0.00809531,0.0761372,0.0582908,1.52447,9.21951e+06,0.888863,0.889488,0.895285,0,0,0,28,0,0,29,0,0,momentum
A2,rolling_diagnostic,2,2,2,1,0.00604665,0.00604665,-0.0203192,-0.0361387,-0.046685,1,0.00604665,0.0781054,0.0621795,2.16506,9.83123e+06,0.866276,0.867071,0.878055,0,0,0,6,0,0,5,0,0,momentum
A2,seasonal_diagnostic,16,16,14,13,0.0258627,0.0286232,-0.00427446,-0.0287148,-0.0411008,11,0.0258627,0.0951573,0.0451317,1.85345,6.3931e+07,0.908768,0.909403,0.914906,0,0,0,19,1,1,26,0,0,momentum
A2,validation,8,8,8,8,-0.0163765,0.00854448,-0.0240449,-0.0383578,-0.0701597,3,-0.0163765,0.10591,0.0604285,2.0676,3.69138e+07,0.913901,0.916116,0.92205,0,0,0,0,0,0,0,0,0,momentum
A20,development,18,18,18,11,0.0120529,0.02017,-0.0141132,-0.0805457,-0.112637,11,0.0120529,0.119608,0.0378334,0.908588,2.33053e+07,0.90969,0.90977,0.909531,0,0,0,75,0,0,70,0,0,adaptive
A21,development,18,18,18,10,0.0131035,0.0230343,-0.012073,-0.0762648,-0.107853,11,0.0131035,0.116582,0.0368218,0.908462,2.33021e+07,0.909558,0.909667,0.909452,0,0,0,81,0,0,75,0,0,adaptive
A22,development,18,18,18,13,0.00508215,0.0184623,-0.016358,-0.0852188,-0.120959,10,0.00508215,0.123262,0.0415913,0.909317,2.3324e+07,0.910426,0.910469,0.910198,0,0,0,62,0,0,59,0,0,adaptive
A23,development,18,18,18,13,0.00508215,0.0185188,-0.016358,-0.0852188,-0.120959,10,0.00508215,0.123262,0.0415913,0.913386,2.35108e+07,0.910426,0.910469,0.910198,0,0,0,62,0,0,59,0,0,adaptive
A24,development,18,18,18,13,0.00508215,0.0185188,-0.016358,-0.0852188,-0.120959,10,0.00508215,0.123262,0.0415913,0.913386,2.35108e+07,0.910426,0.910469,0.910198,0,0,0,62,0,0,59,0,0,adaptive
A25,development,18,18,16,10,0.00377678,0.0194437,-0.0191641,-0.0939861,-0.126853,11,0.00377678,0.132264,0.044196,2.03726,8.17568e+07,0.910426,0.912593,0.915271,0,0,0,66,1,1,77,0,0,adaptive
A26,development,18,18,18,13,0.00508215,0.0184623,-0.016358,-0.0852188,-0.120959,10,0.00508215,0.123262,0.0415913,0.909317,2.3324e+07,0.910426,0.910469,0.910198,0,0,0,62,0,0,59,0,0,adaptive
A27,development,18,18,18,13,0.00508215,0.0184623,-0.016358,-0.0852188,-0.120959,10,0.00508215,0.123262,0.0415913,0.909317,2.3324e+07,0.910426,0.910469,0.910198,0,0,0,62,0,0,59,0,0,adaptive
A28,development,18,18,18,13,0.00508215,0.0184623,-0.016358,-0.0852188,-0.120959,10,0.00508215,0.123262,0.0415913,0.909317,2.3324e+07,0.910426,0.910469,0.910198,0,0,0,62,0,0,59,0,0,adaptive
A29,development,18,16,15,2,-0.00954063,0.00707953,-0.0346226,-0.0914342,-0.134524,7,-0.0186658,0.142006,0.0480262,0.865636,2.26388e+07,0.554767,0.858086,0.907749,10,100,10,61,0,0,58,0,226,adaptive
A3,development,18,18,18,11,0.0166688,0.0228944,-0.0101294,-0.08124,-0.0980604,11,0.0166688,0.120585,0.0371412,0.908646,2.33068e+07,0.909746,0.909769,0.909523,0,0,0,74,0,0,69,0,0,momentum
A3,historical_holdout,4,4,4,2,0.0359871,0.0124889,-0.0192468,-0.0733522,-0.109422,3,0.0359871,0.162605,0.0823486,0.910472,5.18969e+06,0.911701,0.911503,0.912518,0,0,0,15,0,0,13,0,0,momentum
A3,recent_diagnostic,3,3,2,1,0.0227301,0.0327846,0.018395,0.0157939,0.0140599,3,0.0227301,0.0811045,0.0575109,0.888627,3.79888e+06,0.889419,0.890816,0.892378,0,0,0,28,0,0,29,0,0,momentum
A3,rolling_diagnostic,2,2,2,1,0.0276378,0.0276378,0.00154171,-0.0141159,-0.0245544,1,0.0276378,0.0651572,0.0489653,0.857891,2.44499e+06,0.857885,0.857771,0.859356,0,0,0,20,0,0,19,0,0,momentum
A3,seasonal_diagnostic,16,16,14,12,0.0287505,0.0246474,0.000372406,-0.0305337,-0.0629849,12,0.0287505,0.0906267,0.0444002,0.907561,2.06924e+07,0.90885,0.909059,0.909184,0,0,0,35,0,0,35,0,0,momentum
A3,validation,8,8,8,8,0.00963206,0.0234274,-0.00934516,-0.0300241,-0.0627709,5,0.00963206,0.0918603,0.0576821,0.91162,1.03925e+07,0.912499,0.912526,0.912494,0,0,0,0,0,0,0,0,0,momentum
A30,development,18,13,12,0,-0.0189563,0.000671308,-0.0665696,-0.103469,-0.141946,6,-0.0472463,0.141946,0.0467012,0.771123,2.0599e+07,0.454359,0.756025,0.904882,17,172,17,50,0,0,47,0,378,adaptive
A31,development,18,16,15,2,0.00225817,0.00923601,-0.0346226,-0.0914342,-0.134524,8,-0.00435795,0.142006,0.0470031,0.865635,2.26388e+07,0.554757,0.858118,0.907745,10,97,10,61,0,0,58,0,226,adaptive
A32,development,18,18,18,13,0.00496072,0.0179408,-0.0158352,-0.0825784,-0.117429,10,0.00496072,0.119597,0.0403189,0.88508,2.27821e+07,0.882276,0.882318,0.881977,0,0,0,62,0,0,59,0,0,adaptive
A33,development,18,18,18,13,0.00477082,0.0173526,-0.0152984,-0.0797649,-0.113027,10,0.00477082,0.11519,0.0389448,0.854945,2.20064e+07,0.852186,0.85223,0.85182,0,0,0,62,0,0,59,0,0,adaptive
A34,development,18,18,18,13,0.00521239,0.0185333,-0.016358,-0.0852188,-0.120959,10,0.00521239,0.123262,0.0415817,0.913133,2.35043e+07,0.910172,0.910212,0.90994,0,0,0,62,0,0,59,0,0,adaptive
A35,development,18,18,18,13,0.00521239,0.0185333,-0.016358,-0.0852188,-0.120959,10,0.00521239,0.123262,0.0415817,0.913133,2.35043e+07,0.910172,0.910212,0.90994,0,0,0,62,0,0,59,0,0,adaptive
A4,development,18,18,18,11,0.0166688,0.0229109,-0.0101294,-0.08124,-0.0980604,11,0.0166688,0.120585,0.0371317,0.908389,2.33002e+07,0.909488,0.909508,0.909261,0,0,0,74,0,0,69,0,0,momentum
A4,historical_holdout,4,4,4,2,0.035733,0.0123618,-0.0192468,-0.0733522,-0.109422,3,0.035733,0.162605,0.0823244,0.908448,5.17815e+06,0.909682,0.909502,0.910553,0,0,0,15,0,0,13,0,0,momentum
