treated,control,split,dq_treatment,pairs,attempted,pairs_with_dq,median,p25,p10,mean,wins,losses,ties,sign_p,med_ci_lo,med_ci_hi,mean_ci_lo,mean_ci_hi,identical
D13,A0_V3,development,zero,18,18,1,0.00497718,-0.00208086,-0.0241078,-0.00033927,13,5,0,0.0962524,-0.00135842,0.0174129,-0.0182233,0.012405,False
D13,A0_V3,validation,exclude,7,8,1,0.00443266,-0.0270844,-0.0421703,-0.00575869,4,3,0,1,-0.0364327,0.0241901,-0.0270266,0.0138787,False
D13,A0_V3,validation,minus100,8,8,1,0.00765932,-0.0224103,-0.0407359,0.123094,5,3,0,0.726562,-0.0364327,0.0251262,-0.0198875,0.386248,False
D13,A0_V3,validation,zero,8,8,1,0.00765932,-0.0224103,-0.0407359,-0.00190606,5,3,0,0.726562,-0.0364327,0.0250623,-0.0221155,0.0159583,False
D13,A0_V3,historical_holdout,exclude,3,4,1,-0.0328406,-0.0670533,-0.0875809,-0.00929493,1,2,0,1,-0.101266,0.106222,-0.101266,0.106222,False
D13,A0_V3,historical_holdout,minus100,4,4,1,0.0366906,-0.049947,-0.0807384,0.260785,2,2,0,1,-0.101266,1.07102,-0.0670533,0.795057,False
D13,A0_V3,historical_holdout,zero,4,4,1,0.0190912,-0.049947,-0.0807384,0.0107846,2,2,0,1,-0.101266,0.106222,-0.0670533,0.0886224,False
D13,A0_V3,seasonal_diagnostic,exclude,13,16,3,0.010834,-0.00356807,-0.0240387,0.00761042,8,5,0,0.581055,-0.00356807,0.0127285,-0.00697954,0.0224327,False
D13,A0_V3,seasonal_diagnostic,minus100,16,16,3,0.0124026,-0.00321771,-0.0213679,0.196031,11,5,0,0.210114,-0.00310093,0.045549,0.0109721,0.392549,False
D13,A0_V3,seasonal_diagnostic,zero,16,16,3,0.0115211,-0.00690518,-0.0320544,0.00853131,10,6,0,0.454498,-0.00356807,0.0220565,-0.00602271,0.02291,False
D13,A0_V3,recent_diagnostic,exclude,3,3,0,0.0119585,0.00695264,0.00394914,0.0188623,3,0,0,0.25,0.00194681,0.0426816,0.00194681,0.0426816,False
