date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2010-07-01,1001984055.9858832,1001984055.9858832,91622305.9858832,0.09144088215628658,22,0.0,0,1292596.2642934981,0.0,1292596.2642934981,907085097.7498235,0.9070850977498235,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-19,1058132829.600544,1072190943.098344,58742579.60054402,0.05551531712962724,22,14058113.497799953,0,121351.20921876306,121285.45494469695,242636.66416346002,85158743.31141266,0.08066108220546357,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-20,1055264387.583939,1069322501.081739,57004687.583938934,0.05401934174472898,22,14058113.497799953,0,127977.00555324176,132496.50967239586,260473.51522563762,89808424.94964334,0.08487443394374877,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-21,1056299387.775426,1070357501.273226,52969797.77542606,0.05014657623439585,22,14058113.497799953,0,123834.9217403977,124672.97633476206,248507.89807515976,86901699.46694574,0.0823506416869709,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-22,1053474058.6072993,1067532172.1050993,54241508.60729932,0.05148822428433312,22,14058113.497799953,0,131594.15608884956,140836.3763505211,272430.53243937064,92346776.20270143,0.08742481276750941,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-23,1061537633.1638571,1075595746.661657,49041233.16385709,0.046198299176348816,22,14058113.497799953,0,125059.91647789601,124215.51733070324,249275.43380859925,87761344.89676912,0.083306602739502,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-26,1064434077.8190515,1078492191.3168514,47249477.8190515,0.04438929455909779,22,14058113.497799953,0,127635.22648618784,132054.77196593065,259689.99845211848,89568579.99030724,0.08437626438485539,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-27,1058152748.0513313,1072210861.5491313,48634248.05133122,0.04596146269136936,22,14058113.497799953,0,124078.45879129783,133071.78470450314,257150.24349580097,87072602.6605599,0.08180178037795009,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-28,1058989564.4376388,1075211747.212702,50799664.437638715,0.047969938650542936,22,16222182.77506316,0,129165.71336268971,139615.20475947575,268780.9181221655,90642605.86855417,0.08566117324316307,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-29,1053611156.5328765,1070925738.6021326,45297956.53287644,0.04299304943005601,22,17314582.06925607,0,123561.33192282042,122180.6109759631,245741.94289878354,86709706.61250556,0.08187966106970233,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-07-30,1049653572.2893966,1066968154.3586527,45640322.28939662,0.0434813194508076,22,17314582.06925607,0,116220.07943209083,123209.61890026914,239429.69833235996,81557950.47866023,0.07740801715411157,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-08-02,1073997273.9893632,1091311856.0586193,50594523.98936312,0.047108614904979924,22,17314582.06925607,0,127002.25100736546,141520.66693461585,268522.9179419813,89124386.67183541,0.08490838217931888,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2010-08-03,1092645588.185989,1092645588.185989,51218680.07673297,0.046875840282086585,22,0.0,0,135103.5368916074,143568.4915332788,278672.0284248862,94809499.5730578,0.08827722552859738,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,18467608.10925607
