candidate_id,attempted,passed,completed,failed,compliance_pass_rate,valid_episode_rate,metric_population,median_24d_return,mean_24d_return,p25_24d_return,p10_24d_return,worst_24d_return,positive_episode_rate,loss_episode_rate,positive_attempt_rate,median_mdd,worst_mdd,median_turnover,median_days_to_20_holdings,penalized_mean_return,penalized_median_return,penalized_p25_return,failed_episode_penalty_return,best_return,p90_MDD,median_trade_count,valid_episode_count,mean_return_excluding_top_5pct,median_return_without_tail_extremes,trimmed_each_tail_count,median_days_to_valid_portfolio,valid_portfolio_reached_count,valid_portfolio_unreached_count,analysis_status,median_day_1_invested_fraction,observed_day_1_invested_fraction_count,median_day_1_holding_count,observed_day_1_holding_count_count,median_day_3_invested_fraction,observed_day_3_invested_fraction_count,median_day_3_holding_count,observed_day_3_holding_count_count,median_day_5_invested_fraction,observed_day_5_invested_fraction_count,median_day_5_holding_count,observed_day_5_holding_count_count,source_study,phase
coarse_010_ema_slow_50,119,76,111,43,0.6386554621848739,0.9327731092436975,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.018160960597533693,0.01741529492954514,-0.005735482099117006,-0.0497048726898881,-0.08814573502973466,0.7105263157894737,0.2894736842105263,0.453781512605042,0.03201406795135864,0.11507650269897851,2.360301499311844,1.0,-0.3502221645828115,-0.006599868942383624,-1.0,-1.0,0.13121826276282134,0.06947635189121931,109.5,76.0,0.011454262883268227,0.018160960597533693,4.0,1.0,111.0,8.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077910961609076,119.0,20.0,119.0,0.9045486188295645,119.0,20.0,119.0,0.8941697915008715,111.0,21.0,111.0,original,development_coarse
coarse_011_macd_fast_6,119,76,112,43,0.6386554621848739,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.01895890925658661,0.015377649067278518,-0.013722246803020671,-0.05441160825437524,-0.09502264682729955,0.6710526315789473,0.32894736842105265,0.42857142857142855,0.031554877504204826,0.119818350184694,2.3851960997214148,1.0,-0.3515235182427465,-0.021357323078426194,-1.0,-1.0,0.14806977185198456,0.07179724941187499,116.5,76.0,0.009078264055010615,0.01895890925658661,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9075402115181243,119.0,20.0,119.0,0.9037193969379074,119.0,20.0,119.0,0.8939114071033444,112.0,20.5,112.0,original,development_coarse
coarse_012_macd_fast_10,119,79,112,40,0.6638655462184874,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.0198711080485241,0.016250039470610825,-0.015824661114954952,-0.0541102477106226,-0.08756109107435794,0.6835443037974683,0.31645569620253167,0.453781512605042,0.03259555031431338,0.10929474062625366,2.3797080747026302,1.0,-0.3253466124522836,-0.017045282527763272,-1.0,-1.0,0.14284420820342825,0.07479844576936874,112.0,79.0,0.01051081176675232,0.0198711080485241,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077078916392803,119.0,20.0,119.0,0.9039524579852468,119.0,20.0,119.0,0.8937331015500416,112.0,20.0,112.0,original,development_coarse
coarse_013_macd_signal_3,119,76,112,43,0.6386554621848739,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.01763346923664333,0.015256706066223114,-0.013786209449831693,-0.05246190447997101,-0.09502264682729955,0.6710526315789473,0.32894736842105265,0.42857142857142855,0.03131450910987754,0.119818350184694,2.374333712232399,1.0,-0.35160075915098354,-0.018444499442626938,-1.0,-1.0,0.14298168858156846,0.07179724941187499,114.5,76.0,0.009037296300015858,0.01763346923664333,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077345683182481,119.0,20.0,119.0,0.9037950284232931,119.0,20.0,119.0,0.8940911767222405,112.0,21.0,112.0,original,development_coarse
coarse_014_macd_signal_7,119,79,112,40,0.6638655462184874,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.019452756523905768,0.016124057500813256,-0.010570846548342061,-0.057364931946141694,-0.08756109107435794,0.6835443037974683,0.31645569620253167,0.453781512605042,0.03133987901176716,0.10929474062625366,2.396017048091054,1.0,-0.3254302475414769,-0.015641225472637688,-1.0,-1.0,0.14284420820342825,0.07479844576936874,112.0,79.0,0.010344021191760904,0.019452756523905768,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077078916392803,119.0,20.0,119.0,0.9039751540472196,119.0,20.0,119.0,0.8937862468432802,112.0,20.0,112.0,original,development_coarse
coarse_015_momentum_weight_0p45,119,74,112,45,0.6218487394957983,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.024099632922394365,0.016012260604591273,-0.012836393345361435,-0.051637393212423596,-0.09524619046180682,0.6756756756756757,0.32432432432432434,0.42016806722689076,0.03146052545213818,0.11529250251817624,2.3509388105241915,1.0,-0.3681940564307584,-0.02320839866677238,-1.0,-1.0,0.13527670826379223,0.07401313546128988,113.0,74.0,0.009850988886955259,0.024099632922394365,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077067944208969,119.0,20.0,119.0,0.904284043791748,119.0,20.0,119.0,0.8941663737755169,112.0,20.0,112.0,original,development_coarse
coarse_016_momentum_weight_0p65,119,77,112,42,0.6470588235294118,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.021549828161794515,0.017055713964511564,-0.008099151444445174,-0.05835265548066184,-0.08959482012531828,0.6623376623376623,0.33766233766233766,0.42857142857142855,0.030761041121412203,0.11505576106724891,2.402989504311211,1.0,-0.3419051262582572,-0.018680148086554382,-1.0,-1.0,0.14393785541881576,0.07505882766208075,111.0,77.0,0.011205167403860194,0.021549828161794515,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9072439350174185,119.0,20.0,119.0,0.9034890585031904,119.0,20.0,119.0,0.8936392625850433,112.0,21.0,112.0,original,development_coarse
coarse_017_long_return_fraction_0p1,119,77,112,42,0.6470588235294118,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.020767183269571277,0.018289081383336396,-0.009483574208190237,-0.049596648437864085,-0.08793547842680982,0.7142857142857143,0.2857142857142857,0.46218487394957986,0.031067021930370475,0.11029142007264248,2.3571884715272886,1.0,-0.34110706498725296,-0.013505692751355602,-1.0,-1.0,0.1486000627915749,0.06891164502005455,113.0,77.0,0.01237316739519629,0.020767183269571277,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9074834808613457,119.0,20.0,119.0,0.9046423581239901,119.0,20.0,119.0,0.8938417520910259,112.0,21.0,112.0,original,development_coarse
coarse_018_long_return_fraction_0p3,119,77,112,42,0.6470588235294118,0.9411764705882353,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.019050530451194536,0.016544611021504594,-0.005113988180329043,-0.051427368034942855,-0.08710698848584875,0.7142857142857143,0.2857142857142857,0.46218487394957986,0.030614911452848226,0.11764777593761933,2.3929452777311244,1.0,-0.3422358399272617,-0.01846829048914911,-1.0,-1.0,0.14503705943495215,0.07600666981176439,115.0,77.0,0.010393830821857271,0.019050530451194536,4.0,1.0,112.0,7.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9077798187482432,119.0,20.0,119.0,0.9031074488839244,119.0,20.0,119.0,0.8937119793788413,112.0,21.0,112.0,original,development_coarse
coarse_019_volume_low_0p6,119,84,117,35,0.7058823529411765,0.9831932773109243,MEASURED_PASS_COMPLETE_EPISODES_ONLY,0.01910258571317569,0.015387550217474774,-0.011786970893559345,-0.04667159560153757,-0.08584729634850685,0.6785714285714286,0.32142857142857145,0.4789915966386555,0.03410361358273062,0.10941989822034148,2.3600802193517025,1.0,-0.2832558469053119,-0.0036605326056367016,-1.0,-1.0,0.1410891617984975,0.07353862399454407,110.0,84.0,0.008767981900215986,0.01910258571317569,5.0,1.0,117.0,2.0,POST_FREEZE_DIAGNOSTIC_NEVER_SELECTION_INPUT,0.9084547468030452,119.0,20.0,119.0,0.9070903542445907,119.0,20.0,119.0,0.8954476652063142,117.0,21.0,117.0,original,development_coarse
