episode,start,end,mom20,mom20|turnover,mom20|cost,mom20|dq,mom20|warn,tsmc_formal,tsmc_formal|turnover,tsmc_formal|cost,tsmc_formal|dq,tsmc_formal|warn,tsmc_core_equal,tsmc_core_equal|turnover,tsmc_core_equal|cost,tsmc_core_equal|dq,tsmc_core_equal|warn,tsmc_blend_only,tsmc_blend_only|turnover,tsmc_blend_only|cost,tsmc_blend_only|dq,tsmc_blend_only|warn
dev_2020_02m,2020-02-17,2020-03-20,-0.23670675023940502,5.2605436900643685,0.013036596176006816,0,0,-0.20710403937789068,5.304995461271297,0.013442739113765296,0,0,-0.22419949161527197,4.216113750860869,0.01019591635721792,0,0,-0.2168698501668378,7.0406473498072835,0.018196278805799097,0,0
dev_2020_03,2020-03-02,2020-04-06,-0.13905982953998508,5.396191526130652,0.013394123011190829,0,0,-0.10648304384164764,5.100527635215098,0.012835420157792054,0,0,-0.13248416487873182,3.908719418806869,0.00936030064104861,0,0,-0.11820155888226624,6.835074090394349,0.017460794902327628,0,0
dev_2020_03m,2020-03-16,2020-04-20,0.06264496142431208,3.3583246995469107,0.008354921959193623,0,0,0.06927977127323959,3.784068969430405,0.00955278890962388,0,0,0.06151530142318329,2.840375061737442,0.006763737694627675,0,0,0.04966626365288107,5.146345583231197,0.01338475128806225,0,0
dev_2020_04,2020-04-01,2020-05-07,0.16425743633134515,3.9977728014220117,0.0108435751979573,0,0,0.13889427808823984,5.15113630630497,0.01441423740782967,0,0,0.14410332989952002,3.3316024703031806,0.00875766854404582,0,0,0.1543722571460051,6.827097192086722,0.0195054663277767,0,0
dev_2020_04m,2020-04-15,2020-05-19,0.07918494721950387,3.4939397399811374,0.009085151955533725,0,0,0.06091919041492333,5.1665788445906236,0.014282604829114814,0,0,0.05909379133910031,2.9335220592340856,0.007355139704475908,0,0,0.0733375740308908,6.6923737133828665,0.018959494434893337,0,0
dev_2020_05,2020-05-04,2020-06-04,0.06492747572840041,3.5146100915563414,0.009058942484070413,0,0,0.04413279632517053,4.32727311361643,0.011373943690615774,0,0,0.05504497385909679,2.8036010739590096,0.006865762102743588,0,0,0.044704922930917323,5.623635864713381,0.015292998170078065,0,0
dev_2020_05m,2020-05-15,2020-06-17,0.08022686101981646,3.7612232856236996,0.009900781373220476,0,0,0.09004429399634617,4.35180601367685,0.011615306071713414,0,0,0.07227559296229358,3.1205587046313603,0.007891518417019718,0,0,0.09707905357215818,5.616041879100786,0.015482718000481397,0,0
dev_2020_06,2020-06-01,2020-07-06,0.19910991675670453,3.5824680112928124,0.009362787746610214,0,0,0.21129494337163535,3.6179439938214193,0.009590000934541468,0,0,0.1855189434214779,2.7000896554521914,0.006716402472852802,0,0,0.22971574555103325,4.798437276973236,0.013256119380117077,0,0
dev_2020_06m,2020-06-15,2020-07-20,0.08431617263650626,3.0210969291430048,0.007886765662714823,0,0,0.10807391914882736,3.1327508481836164,0.008329092689760233,0,0,0.10795302267666007,2.4565028035158076,0.0061405123699762735,0,0,0.08238942763761226,4.132780381126403,0.011419185599119459,0,0
dev_2020_07,2020-07-01,2020-08-03,0.07795682445815011,2.553704234493157,0.0062237664365931205,0,0,0.12474359274150393,3.1284750960523025,0.0081385635640344,0,0,0.12430704555101135,2.1023230674208717,0.004976892894595048,0,0,0.07758819030120101,4.217271643963756,0.011258814957909818,0,0
