date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2018-01-05,2018-01-04,2301.TW,2301.TW,-1017000,39.90293418698244,40581284.068161145,57828.329797129634,121743.85220448344,0.0,0.2439020295670655,4169707.0
2018-01-05,2018-01-04,6510.TWO,6510.TWO,37000,1137.613566873795,42091701.97433042,59980.67531342085,0.0,0.0,0.06409601236186876,577259.0
2018-01-08,2018-01-05,1303.TW,1303.TW,-530000,79.05244083664172,41897793.643420115,59704.35594187367,125693.38093026035,0.0,0.050721566925097834,10449204.0
2018-01-08,2018-01-05,2377.TW,2377.TW,498000,89.19071251482931,44416974.832384996,63294.18913614862,0.0,0.0,0.046914959852381796,10614951.0
2018-01-09,2018-01-08,1590.TW,1590.TW,-76000,502.3977112302381,38182226.0534981,54409.67212623479,114546.6781604943,0.0,0.07399459839431721,1027102.0
2018-01-09,2018-01-08,2345.TW,2345.TW,364000,118.72819386729819,43217062.56769654,61584.31415896757,0.0,0.0,0.07276940774098568,5002102.0
2018-01-10,2018-01-09,3163.TWO,3163.TWO,-951000,39.287127177970426,37362057.94624987,53240.93257340607,112086.17383874962,0.0,0.8282514749146928,1148202.0
2018-01-10,2018-01-09,6182.TWO,6182.TWO,936000,46.446829688676274,43474232.58860099,61950.781438756414,0.0,0.0,0.028332702204229746,33036030.0
2018-01-11,2018-01-10,3491.TWO,3491.TWO,-546000,74.19347826086957,40509639.13043478,57726.23576086957,121528.91739130435,0.0,2.967391304347826,184000.0
2018-01-11,2018-01-10,3324.TWO,3324.TWO,550000,80.74738647906699,44411062.563486844,63285.76415296875,0.0,0.0,0.3644384897403939,1509171.0
2018-01-12,2018-01-11,3533.TW,3533.TW,-203000,186.39375464364937,37837932.19266082,53919.053374541676,113513.79657798247,0.0,0.10889944504199066,1864105.0
2018-01-12,2018-01-11,8415.TWO,8415.TWO,1727000,25.990886952063573,44886261.76621379,63962.92301685465,0.0,0.0,0.4427069982055883,3901000.0
2018-01-15,2018-01-12,6510.TWO,6510.TWO,-37000,1104.4485358402846,40864595.82609053,58232.049052179005,122593.7874782716,0.0,0.1902841920121782,194446.0
2018-01-15,2018-01-12,1303.TW,1303.TW,537000,81.65990942719714,43851371.36240486,62488.20419142693,0.0,0.0,0.08394765980656396,6396843.0
2018-01-16,2018-01-15,6415.TW,6415.TW,-60000,620.6975251217771,37241851.50730662,53069.638397911935,111725.55452191987,0.0,0.1063168134724666,564351.0
2018-01-16,2018-01-15,6290.TWO,6290.TWO,578000,74.73549549009353,43197116.39327406,61555.89086041554,0.0,0.0,0.13538268680292848,4269379.0
2018-01-17,2018-01-16,2345.TW,2345.TW,-364000,106.90509716255926,38913455.36717157,55451.67389821949,116740.36610151471,0.0,0.04243390132975489,8578047.0
2018-01-17,2018-01-16,6147.TWO,6147.TWO,665000,64.17465512207181,42676145.65617775,60813.5075600533,0.0,0.0,0.1127578466744235,5897594.0
2018-01-18,2018-01-17,5536.TWO,5536.TWO,-199000,202.61757613842286,40320897.65154615,57457.279153453266,120962.69295463845,0.0,0.3635207809668557,547424.0
2018-01-18,2018-01-17,5274.TWO,5274.TWO,52000,827.3777407715793,43023642.520122126,61308.69059117403,0.0,0.0,0.09020260893699694,576480.0
2018-01-19,2018-01-18,2327.TW,2327.TW,-116000,373.67602675378015,43346419.1034385,61768.64722239986,130039.25731031549,0.0,0.01911926133722751,6067180.0
2018-01-19,2018-01-18,6121.TWO,6121.TWO,214000,192.19822720990288,41130420.62291922,58610.84938765989,0.0,0.0,0.04700846064425315,4552372.0
2018-01-22,2018-01-19,1802.TW,1802.TW,-1849000,20.629593039982044,38144117.5309268,54355.36748157069,114432.3525927804,0.0,0.2951947279403007,6263662.0
2018-01-22,2018-01-19,3481.TW,3481.TW,2975000,14.590897090635538,43407918.844640724,61856.28435361303,0.0,0.0,0.01204702595252534,246948916.0
2018-01-23,2018-01-22,8415.TWO,8415.TWO,-1727000,23.56659809776598,40699514.914841846,57996.80875364963,122098.54474452554,0.0,3.8199513381995134,452100.0
2018-01-23,2018-01-22,5483.TWO,5483.TWO,381000,98.49680208272375,37527281.59351775,53476.3762707628,0.0,0.0,0.009809206808228025,38841061.0
2018-01-24,2018-01-23,1101.TW,1101.TW,-1133000,37.21026529234734,42159230.576229535,60076.90357112709,126477.6917286886,0.0,0.13302364145937148,8517283.0
2018-01-24,2018-01-23,3661.TW,3661.TW,371000,109.54228452086173,40640187.557239704,57912.26726906658,0.0,0.0,0.06420537968396416,5778332.0
2018-01-25,2018-01-24,1301.TW,1301.TW,-418000,100.70914678084486,42096423.354393154,59987.40328001025,126289.27006317947,0.0,0.050682276807923504,8247459.0
2018-01-25,2018-01-24,3443.TW,3443.TW,114000,359.0286638488778,40929267.67877207,58324.2064422502,0.0,0.0,0.011506397355062795,9907532.0
2018-01-26,2018-01-25,1402.TW,1402.TW,-1542000,26.35853918241348,40644867.41928159,57918.93607247627,121934.60225784476,0.0,0.2365857999423111,6517720.0
2018-01-26,2018-01-25,2330.TW,2330.TW,162000,255.13269094090725,41331495.932426974,58897.38170370844,0.0,0.0,0.00372289499760804,43514523.0
2018-01-29,2018-01-26,1519.TW,1519.TW,-1982000,20.872356236868725,41369010.06147382,58950.83933760019,124107.03018442146,0.0,7.711462143023889,257020.0
2018-01-29,2018-01-26,2379.TW,2379.TW,326000,124.64399337090194,40633941.83891403,57903.367120452494,0.0,0.0,0.1133595242516359,2875806.0
2018-01-30,2018-01-29,1815.TWO,1815.TWO,-1816000,22.973951066038868,41720695.13592658,59451.99056869538,125162.08540777974,0.0,0.16920882110928495,10732301.0
2018-01-30,2018-01-29,2409.TW,2409.TW,2914000,13.94971298402495,40649463.6354487,57925.4856805144,0.0,0.0,0.019678772337424117,148078343.0
2018-01-31,2018-01-30,3529.TWO,3529.TWO,-96000,413.7312713287471,39718202.04755972,56598.43791777261,119154.60614267917,0.0,1.0400303342180814,92305.0
2018-01-31,2018-01-30,3037.TW,3037.TW,2157000,20.663958010460846,44572157.42856404,63515.324335703765,0.0,0.0,0.01512237895590777,142636288.0
2018-02-01,2018-01-31,6274.TWO,6274.TWO,-489000,88.58656242207138,43318829.0243929,61729.33135975989,129956.48707317871,0.0,0.22252316698247665,2197524.0
2018-02-01,2018-01-31,6023.TWO,6023.TWO,844000,44.96820817843866,37953167.70260223,54083.26397620818,0.0,0.0,6.275092936802974,134500.0
2018-02-02,2018-02-01,6548.TWO,6548.TWO,-94000,445.3450236189092,41862432.220177464,59653.96591375289,125587.29666053239,0.0,1.1018250442488249,85313.0
2018-02-02,2018-02-01,8069.TWO,8069.TWO,823000,50.365381298529535,41450708.80868981,59067.26005238298,0.0,0.0,0.03556705840417826,23139389.0
