track,model,period,sessions,start,end,economic_return,economic_max_drawdown,interpretation
official_ex_post,return_winner,2026Q3_partial,58,2026-07-01,2026-09-21,0.002024719020051302,0.16609756310571344,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,risk_controlled,2025H1,116,2025-01-02,2025-06-30,0.051123149418828895,0.23690324908451388,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,risk_controlled,2025H2,127,2025-07-01,2025-12-31,0.8415363485274534,0.09777316972254435,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,risk_controlled,2026H1,116,2026-01-02,2026-06-30,1.3718503229763037,0.12625216403280304,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,risk_controlled,2026Q3_partial,58,2026-07-01,2026-09-21,0.002024719020051302,0.16609756310571344,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,strict_winner,2025H1,116,2025-01-02,2025-06-30,0.051123149418828895,0.23690324908451388,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,strict_winner,2025H2,127,2025-07-01,2025-12-31,0.8415363485274534,0.09777316972254435,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,strict_winner,2026H1,116,2026-01-02,2026-06-30,1.3718503229763037,0.12625216403280304,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,strict_winner,2026Q3_partial,58,2026-07-01,2026-09-21,0.002024719020051302,0.16609756310571344,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,incumbent,2025H1,116,2025-01-02,2025-06-30,-0.016713405421726835,0.253618505506629,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,incumbent,2025H2,127,2025-07-01,2025-12-31,0.868930773985817,0.09892637690163775,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,incumbent,2026H1,116,2026-01-02,2026-06-30,1.067727014362863,0.1395678986737,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,incumbent,2026Q3_partial,58,2026-07-01,2026-09-21,-0.006512568676399488,0.17055847524681345,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,v1_matched,2025H1,116,2025-01-02,2025-06-30,-0.0029367927017304174,0.2179511725846045,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,v1_matched,2025H2,127,2025-07-01,2025-12-31,0.6684926575584416,0.08085859216310809,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,v1_matched,2026H1,116,2026-01-02,2026-06-30,1.1151419263452866,0.11379582975000924,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,v1_matched,2026Q3_partial,58,2026-07-01,2026-09-21,-0.010583476185757612,0.1734223793512517,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,0050,2025H1,116,2025-01-02,2025-06-30,0.00814227281098634,0.24593147762374734,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,0050,2025H2,127,2025-07-01,2025-12-31,0.3238082366963717,0.07313319563417775,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,0050,2026H1,116,2026-01-02,2026-06-30,0.6003907262570549,0.09943148633838927,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,0050,2026Q3_partial,58,2026-07-01,2026-09-21,0.036038920531619834,0.13067340808822714,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
