etf,source_date,date_semantics,ticker,name,shares,weight_nav_fraction,source_url,raw_sha256,observed_at
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,6669,緯穎科技服務,155105,0.0168,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,2345,智邦科技,174000,0.0161,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,6515,穎崴科技,55000,0.016,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,2884,玉山金融控股,6340622,0.0147,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,8996,高力熱處理工業,181000,0.0137,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,2327,國巨,485000,0.013600000000000001,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3189,景碩科技,323000,0.0134,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,8046,南亞電路板,251000,0.0134,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,6213,聯茂電子,482000,0.0131,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,2891,中國信託金融控股,3699000,0.0131,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,2376,技嘉科技,694000,0.0129,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3231,緯創資通,1298000,0.012199999999999999,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3036,文曄科技,1147000,0.011899999999999999,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3026,禾伸堂企業,286000,0.011399999999999999,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,5904,寶雅國際,3124500,0.011200000000000002,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3264,欣銓科技,650000,0.009300000000000001,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3293,鈊象電子,252000,0.0092,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3044,健鼎科技,345000,0.0091,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3008,大立光電,26000,0.0084,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,4958,臻鼎科技控股,302000,0.0070999999999999995,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,6805,富世達,54000,0.0066,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3529,力旺電子,44000,0.0063,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3665,貿聯控股（BizLink Holding In,48336,0.005600000000000001,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,6831,邁科科技,182000,0.004699999999999999,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,8210,勤誠興業,95000,0.0043,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,6442,光紅建聖,38000,0.0029,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3533,嘉澤端子工業,35000,0.0028000000000000004,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00982A,2026-09-22,PAGE_QUERY_DATE_NOT_VERIFIED_VALUATION_CUTOFF,2330,台積電,1794000,0.0874,https://www.capitalfund.com.tw/etf/product/detail/399/portfolio,a6ab4561d20884a60a25ed662bd1bd022f95e43140816c93079aed58eb6d60fc,2026-09-22T06:13:53.087095+00:00
00982A,2026-09-22,PAGE_QUERY_DATE_NOT_VERIFIED_VALUATION_CUTOFF,2454,聯發科,736000,0.0725,https://www.capitalfund.com.tw/etf/product/detail/399/portfolio,a6ab4561d20884a60a25ed662bd1bd022f95e43140816c93079aed58eb6d60fc,2026-09-22T06:13:53.087095+00:00
00982A,2026-09-22,PAGE_QUERY_DATE_NOT_VERIFIED_VALUATION_CUTOFF,3105,穩懋,5709000,0.055,https://www.capitalfund.com.tw/etf/product/detail/399/portfolio,a6ab4561d20884a60a25ed662bd1bd022f95e43140816c93079aed58eb6d60fc,2026-09-22T06:13:53.087095+00:00
00982A,2026-09-22,PAGE_QUERY_DATE_NOT_VERIFIED_VALUATION_CUTOFF,6139,亞翔,3721000,0.0525,https://www.capitalfund.com.tw/etf/product/detail/399/portfolio,a6ab4561d20884a60a25ed662bd1bd022f95e43140816c93079aed58eb6d60fc,2026-09-22T06:13:53.087095+00:00
00982A,2026-09-22,PAGE_QUERY_DATE_NOT_VERIFIED_VALUATION_CUTOFF,6669,緯穎,1136225,0.048,https://www.capitalfund.com.tw/etf/product/detail/399/portfolio,a6ab4561d20884a60a25ed662bd1bd022f95e43140816c93079aed58eb6d60fc,2026-09-22T06:13:53.087095+00:00
00982A,2026-09-22,PAGE_QUERY_DATE_NOT_VERIFIED_VALUATION_CUTOFF,2059,川湖,180000,0.0453,https://www.capitalfund.com.tw/etf/product/detail/399/portfolio,a6ab4561d20884a60a25ed662bd1bd022f95e43140816c93079aed58eb6d60fc,2026-09-22T06:13:53.087095+00:00
00982A,2026-09-22,PAGE_QUERY_DATE_NOT_VERIFIED_VALUATION_CUTOFF,2360,致茂,820000,0.0383,https://www.capitalfund.com.tw/etf/product/detail/399/portfolio,a6ab4561d20884a60a25ed662bd1bd022f95e43140816c93079aed58eb6d60fc,2026-09-22T06:13:53.087095+00:00
00982A,2026-09-22,PAGE_QUERY_DATE_NOT_VERIFIED_VALUATION_CUTOFF,6531,愛普*,2041000,0.038,https://www.capitalfund.com.tw/etf/product/detail/399/portfolio,a6ab4561d20884a60a25ed662bd1bd022f95e43140816c93079aed58eb6d60fc,2026-09-22T06:13:53.087095+00:00
00982A,2026-09-22,PAGE_QUERY_DATE_NOT_VERIFIED_VALUATION_CUTOFF,3491,昇達科,1180000,0.0352,https://www.capitalfund.com.tw/etf/product/detail/399/portfolio,a6ab4561d20884a60a25ed662bd1bd022f95e43140816c93079aed58eb6d60fc,2026-09-22T06:13:53.087095+00:00
00982A,2026-09-22,PAGE_QUERY_DATE_NOT_VERIFIED_VALUATION_CUTOFF,6223,旺矽,307000,0.0331,https://www.capitalfund.com.tw/etf/product/detail/399/portfolio,a6ab4561d20884a60a25ed662bd1bd022f95e43140816c93079aed58eb6d60fc,2026-09-22T06:13:53.087095+00:00
