track,candidate_id,month,sessions,return_net,start_nav,end_nav,max_drawdown,partial_period,research_eligible
official_ex_post,x0352,2026-06,21,0.05888715628367347,3822895204.5513678,4048014631.9178896,0.08694451537394032,False,True
official_ex_post,x0352,2026-07,22,-0.11435424653804904,4048014631.9178896,3585106968.7099214,0.18539475198049682,False,True
official_ex_post,x0352,2026-08,21,0.14391239255538335,3585106968.7099214,4101048290.143944,0.010825008860415819,False,True
official_ex_post,x0352,2026-09,15,-0.0023141241005251167,4101048290.143944,4091557955.4583044,0.051863406889367636,True,True
official_ex_post,x0454,2025-01,15,0.03407223798904058,1000000000.0,1034072237.9890406,0.0446226029211344,False,True
official_ex_post,x0454,2025-02,19,-0.032339737372306776,1034072237.9890406,1000630613.3884815,0.04702838882953819,False,True
official_ex_post,x0454,2025-03,21,-0.0900869494599631,1000630613.3884815,910486853.8920615,0.0900869494599631,False,True
official_ex_post,x0454,2025-04,20,-0.03742671611205961,910486853.8920615,876410320.887681,0.18035834752523694,False,True
official_ex_post,x0454,2025-05,20,0.08424881375055104,876410320.887681,950246850.7812079,0.013164802791975738,False,True
official_ex_post,x0454,2025-06,21,0.1056767341177709,950246850.7812079,1050665834.5774628,0.012926183377104938,False,True
official_ex_post,x0454,2025-07,23,0.08987402431170799,1050665834.5774628,1145093401.3377585,0.020707626757490383,False,True
official_ex_post,x0454,2025-08,21,0.1980425545921649,1145093401.3377585,1371870623.7853193,0.07771236169828466,False,True
official_ex_post,x0454,2025-09,21,0.025495135693941906,1371870623.7853193,1406846651.4932587,0.05222004907256361,False,True
official_ex_post,x0454,2025-10,20,0.1873054530249929,1406846651.4932587,1670356700.8878977,0.041784499633719,False,True
official_ex_post,x0454,2025-11,20,-0.009613354106108085,1670356700.8878977,1654298970.438752,0.09481040236717042,False,True
official_ex_post,x0454,2025-12,22,0.0765385960471423,1654298970.438752,1780916691.078367,0.037929928864540274,False,True
official_ex_post,x0454,2026-01,21,0.188215643206745,1780916691.078367,2116113071.5873098,0.026323928097146343,False,True
official_ex_post,x0454,2026-02,12,0.12043674515832503,2116113071.5873098,2370970842.3162713,0.06488349055805087,False,True
official_ex_post,x0454,2026-03,22,-0.02087143355529064,2370970842.3162713,2321485281.919336,0.12342285671732323,False,True
official_ex_post,x0454,2026-04,20,0.3729573150786778,2321485281.919336,3187300199.6586385,0.0369543180807792,False,True
official_ex_post,x0454,2026-05,20,0.162861763731166,3187300199.6586385,3706389531.715742,0.07970300247238904,False,True
official_ex_post,x0454,2026-06,21,0.0623139963235293,3706389531.715742,3937349475.368644,0.08015701110338991,False,True
official_ex_post,x0454,2026-07,22,-0.08621085076966417,3937349475.368644,3597907227.3196225,0.1377833633599419,False,True
official_ex_post,x0454,2026-08,21,0.0503217542007417,3597907227.3196225,3778960230.4498725,0.01173450861375025,False,True
official_ex_post,x0454,2026-09,15,0.01465979675512008,3778960230.4498725,3834359019.373949,0.03364259926612434,True,True
historical_pit,x0352,2025-01,15,-0.003040758014037581,1000000000.0,996959241.9859624,0.051341123746381,False,True
historical_pit,x0352,2025-02,19,-0.030862434350242496,996959241.9859624,966190652.8303031,0.03401323117788113,False,True
